Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.490,7.604,9.459,0.904,-1.864,-132.266
Ridge,0.863,8.933,13.064,0.703,-2.953,-253.195
LASSO,1.384,4.262,3.085,0.236,0.100,-13.177
Random Forest,1.087,4.492,0.834,0.528,0.001,-0.037
XGBoost,1.382,4.491,0.865,0.238,0.001,-0.115
Gradient Boosting,1.281,4.476,0.842,0.346,0.007,-0.055
