Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,11.045,22.141,32.549,0.554,-13.350,-384.287
Ridge,14.093,11.874,39.018,0.274,-3.127,-552.632
LASSO,15.938,5.888,11.010,0.071,-0.015,-43.084
Random Forest,12.094,4.194,1.874,0.465,0.485,-0.277
XGBoost,1.020,4.808,1.613,0.996,0.323,0.054
Gradient Boosting,14.116,5.432,2.109,0.271,0.136,-0.618
Stacking Ensemble,15.153,5.041,3.922,0.161,0.256,-4.595
