date,GDPC1,INDPRO,IMPGS,EXPGS,PAYEMS,UNRATE,RSXFS,W875RX1,INDPRO_pct_change_1m,INDPRO_pct_change_12m,INDPRO_ma3,INDPRO_ma12,INDPRO_trend,INDPRO_acceleration,PAYEMS_pct_change_1m,RSXFS_pct_change_1m,W875RX1_pct_change_1m,consumption_income_ratio,EXPGS_pct_change_1m,IMPGS_pct_change_1m,export_import_ratio,MMNRNJ_level,consumption_income_divergence,INDPRO_cycle,production_cycle,INDPRO_velocity,INDPRO_momentum_score,INDPRO_roc_3m,INDPRO_roc_6m,INDPRO_roc_12m,INDPRO_roc_acceleration
2016-01-10,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,0.693668077516947,-0.8788977163368936,-0.8888145830502892,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,0.693668077516947,0.004978745762853079
2016-01-11,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,0.693668077516947,-0.8788977163368936,-0.8717799616671315,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,0.693668077516947,0.004978745762853079
2016-01-12,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,0.693668077516947,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,0.693668077516947,0.004978745762853079
2016-01-13,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-14,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-15,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-16,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-17,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-18,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
2016-01-19,19001.69,-0.8834480448890437,-1.3312703172483544,-1.3807804639528283,-1.4456769643786125,0.49397880077103173,-1.34251149304772,-1.537967343759882,-0.014344577293199217,-0.07055452402061935,-0.8788977163368936,-0.8547453402839621,-0.8751620748840567,0.00512166146557757,-0.07131237111311903,-0.04850121672704802,-0.06332486636246729,-1.2191476789089353,-0.03780163634701038,-0.031935752837182384,0.6485744563360081,-0.16143943618341966,-0.0289276551998197,-0.030669567559320186,-0.030669567559320186,-0.01279427632327332,-0.004050409772105272,-0.03214125931791951,-0.047967176160303104,-0.07055452402061935,0.004978745762853079
