Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.288,8.083,2.301,0.560,0.151,-0.101
Ridge,1.709,8.462,1.850,0.225,0.069,0.288
LASSO,1.920,8.779,2.606,0.022,-0.002,-0.413
Random Forest,1.076,7.938,2.356,0.693,0.181,-0.155
XGBoost,0.187,7.903,2.605,0.991,0.188,-0.411
Gradient Boosting,0.459,7.790,2.499,0.944,0.211,-0.299
Stacking Ensemble,1.091,7.590,2.380,0.684,0.251,-0.178
