Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
CANADA,h3,Ridge,8.823,46.584,20854995.703,0.710,-56.352,-689580936589592.750,0.0%,23.1%
CANADA,h3,LASSO,11.229,12.010,93.146,0.530,-2.812,-13754.998,0.0%,38.5%
CANADA,h3,Random Forest,10.092,6.906,1.165,0.620,-0.260,-1.154,100.0%,100.0%
CANADA,h3,XGBoost,5.536,6.292,1.003,0.886,-0.046,-0.594,100.0%,100.0%
CANADA,h3,Gradient Boosting,7.461,6.786,1.288,0.793,-0.217,-1.630,84.6%,100.0%
CANADA,h3,Ensemble,N/A,N/A,9387.925,N/A,N/A,-139734699.901,100.0%,100.0%
