date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,gdp_growth_yoy_lag1,gdp_growth_yoy_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff,gdp_volatility_4q,stock_volatility_4q,gdp_momentum,inflation_momentum,high_inflation_regime,high_volatility_regime,inflation_x_volatility,unemployment_x_inflation,stock_returns_1q,stock_volatility_4q_v6,risk_adjusted_returns,unemployment_momentum_v6,unemployment_vs_5y_avg,inflation_acceleration_v6,inflation_z_score
2000-03-31,-1.7176209550754422,-1.7176209550754422,-0.09205802045568287,0.3145296275660007,0.41852406513607,1.8078319060804329,2.1132185603219216,1.089797796969918,2.5401013812966213,3.1131181403706956,1.5134201604171469,-1.7621734994987917,-1.738799522682839,-1.4445492639044157,-1.1903173497345447,1.2365045053931751,-0.921679849935705,-1.7439374874873068,-1.500646892377325,-1.8165998814203759,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,1.607823664127143,-0.4480733391032586,,,,,,,,,,,1.7577567345523326,-0.5633835687667733,,0.4964156955563328,,,,,0.0690319349987991,,
2000-06-30,-1.6513766720026435,-1.6513766720026435,-0.27152829047253313,0.15877098656227548,0.47936245326841564,2.2186143071656144,2.017857766891693,1.3967373116413115,2.678041811862731,3.3187148219327685,1.592272741751108,-1.7277903541741548,-1.679247733134263,-1.4301693013133534,-1.1794001178077995,1.334222892703483,-0.843206525530858,-1.6841246324860926,-1.4753832701980985,-1.771496332010509,Canada,0.43734429924220375,,,,,,,,,-1.7190145467275113,,,-0.09192059529552178,,,0.4178201102464577,,,1.084961459792607,,,1.803853311297119,,,,,1.6901894800777635,-0.47503371999570826,,,,0.2593183629229133,-0.18463277713768658,0.8029917196478754,,,,,1.7577567345523326,-0.5633835687667733,,0.48802139707445513,0.33294435298975344,,,-0.2419736682695473,-0.022404489739354033,0.20117539784335142,
2000-09-30,-1.5930041741379208,-1.5930041741379208,-0.062146607903323756,0.3598979489077988,0.45388882593326896,2.221552377648722,1.8986950897084047,1.7546078168628891,2.5927443967533104,2.945356315904307,1.824192098615699,-1.6765173347765734,-1.6537012723581483,-1.4373592826088712,-1.1679611386524267,1.3849978678967132,-0.6604174804962232,-1.6584661801410194,-1.4482725856562635,-1.728806775385959,Canada,0.34095255386980244,,,,,,,,,-1.6520355746110618,-1.7212660546628302,,-0.27050986078116407,-0.09178400799284911,,0.478364982733905,0.4171194281165828,,1.3903967078874016,1.0801036337193737,,2.212901086904441,1.7998067567738538,,,,1.9566127543090377,-0.6759863583256617,,,,0.19541329186357967,-0.4154708968681465,0.9319573705474231,,-0.6653422265000567,,,1.7577567345523326,-0.5633835687667733,,0.5489529782479803,0.9699049619408927,-0.665342226500063,1.5293779753769758,0.280594487697296,0.15030855379621383,-0.07175548128177395,
2000-12-31,-1.5816260556017003,-1.5816260556017003,-0.062146607903323756,0.6186377319339667,0.36895937657452155,2.2200133883480473,1.6636112405076104,1.8329543631370993,2.8929483146116084,3.1454368385071843,1.9865356484209122,-1.667371932319555,-1.620205513946913,-1.4445492639044157,-1.1543365208964584,1.6076656680887347,-1.041833919169473,-1.6248235817204846,-1.4200902391446342,-1.6879594764133614,Canada,-0.18392995058534897,,,,,,,,,-1.593015690547222,-1.6534894428663733,,-0.062156015363356465,-0.2694879010735512,,0.4530142532661198,0.4773693560106985,,1.746513341046167,1.3840271693986343,,2.2158267506926603,2.2071059462418656,,,,2.1485582583162066,-0.5268680455574692,,-0.1477548163944236,0.4599057838522086,-0.1860985343605609,-0.4154708968684335,0.2241566991242878,,1.6597011806349014,,,1.7577567345523326,-0.5633835687667733,,0.45278383744137496,-2.38706609315427,1.6597011806349016,-1.3538262605965645,-0.000788179988321392,0.12998939909686033,-0.25976325385105253,
2001-03-31,-1.549178723446809,-1.549178723446809,0.02758852710510138,0.39558665871170967,0.25534022495588204,1.7964219732303854,1.5912743128282771,1.269042765063779,2.7575667462003377,2.238001649299581,2.26020048952113,-1.6356332407174294,-1.5494771478087868,-1.4535367405238262,-1.1442983672834932,1.822604600388405,-1.2862932585553075,-1.5537851538183007,-1.3919717634000088,-1.6485097522112104,Canada,0.04772825816359469,0.4116055056509359,0.277941768162277,-0.7423835730568118,0.2756768917928374,1.0172676258305062,0.4338245505779963,-0.8207929290128188,0.21722244936158858,-1.5815113818155888,-1.5937667023693696,-1.7275848732261783,-0.062156015363356465,-0.06216698865255314,-0.09602032524825464,0.36849454721032066,0.45214212272494075,0.41572849587648975,1.8244759221242424,1.738381249155059,1.070322363329723,2.214294260136927,2.210019103483287,1.8020484020970644,,,2.465789808458978,-0.2672133541491431,,-0.1124911673622109,0.41715500693362,-0.015053522603367859,-0.43470740684580444,-1.4021466328264267,,1.4122556437403138,,-0.13527877811613165,1.7577567345523326,-0.5633835687667733,,0.3589274503404511,-1.876712161663174,1.412255643740314,-1.1983773839140823,0.11980456415229154,0.19094704606777077,-0.3504841762767325,-1.0539459493618217
2001-06-30,-1.5309484655961565,-1.5309484655961565,0.11732366211352652,1.0070373763061942,0.13679900212437493,1.445790376597465,1.8905059680577339,1.07988690151151,2.3572984070743206,2.3066260173438757,1.7128708073206953,-1.6282350666127847,-1.4792073949957638,-1.3834344228923523,-1.1348389584955605,1.619749373633812,-1.277767395998413,-1.4832073497281628,-1.3634781236746556,-1.5963548028231813,Canada,-0.10988026339151663,0.06825302726632972,-0.34413716628384083,-0.3750052529580858,0.027603338439698758,1.122942731534447,-0.26418392145311415,-0.9581864556933273,0.13571671470034286,-1.5487041891818134,-1.5821253910405713,-1.658063886490851,0.027138617379464675,-0.06216698865255314,-0.2720582075959338,0.2554235527599415,0.3680341547620132,0.4753841629740913,1.2633279739838617,1.8159579644809072,1.3711996871119216,1.7924915595769595,2.2084931639758763,2.2070169387152023,0.4062607907615097,,1.8080404332398192,0.07673637013453634,,0.002115890351001109,0.32741049752539675,-0.13047119720354786,0.4116990321668592,-0.4532034312756233,-0.36506918396715143,1.2656548467901816,,-0.29571760982683276,-0.5633835687667733,-0.5633835687667733,-0.2595383664767345,0.25560689778166995,-0.11175186399938235,1.2656548467901811,-0.3774490102350391,0.11980456415229154,0.24682488150473578,-0.3660484660916353,-1.125888491103916
2001-09-30,-1.5350359673563925,-1.5350359673563925,0.17714738456959414,0.35826425289005476,0.040859740788303504,0.9747118459043315,1.5921847514810905,0.7478719036548458,1.7254195081040409,1.7512644795808316,1.1980098350813035,-1.6169594097681876,-1.4629521004726642,-1.4220805723558754,-1.1147407291171667,1.8722250281851145,-1.4741747757872106,-1.466880794612315,-1.3351071801643417,-1.5500442570206563,Canada,-0.35401348181532216,-0.36473191852726705,-1.1755380466165741,-0.5821518942638788,-0.33239672731071085,0.9983198662086492,-0.9785543767049946,-1.185064780588339,0.3819101269009014,-1.5302717467790075,-1.5489275038677868,-1.5968040545246471,0.11643325012228581,0.026684957887797903,-0.06668097158677795,0.13745423369733015,0.25551398612240234,0.4504057524881316,1.0750991362125972,1.257587345825079,1.7220020919014374,1.4433405874772598,1.788493573956304,2.209913426249434,0.06445677474365584,,1.1957790159705914,0.20894622930212897,,0.07264345289345665,0.21920545552844417,-0.31165220965746343,-0.752109821475884,-0.8149462727850278,-0.12291429983484753,0.26671584301097917,,-0.3587427436985993,-0.5633835687667733,-0.5633835687667733,-0.1452626412610293,0.16467513073396037,-1.7350995655423562,0.26671584301097584,-1.6134389879398077,0.07960738474790216,0.2736755359583334,-0.2945778465320116,-1.105903144318587
2001-12-31,-1.500183697802206,-1.500183697802206,0.5959107497080129,-0.868620530777677,-0.0030442311389183878,0.060075924614809546,1.6681462556839017,0.5324705206479665,1.6088656156668042,1.3929109665896031,1.058858220962549,-1.5660012062899529,-1.4552575880181564,-1.3942193948356567,-1.0929325718466323,1.9338526879966118,-1.3533913681983172,-1.4591525506546568,-1.307680785628371,-1.5114203724555872,Canada,0.0711234095271782,-0.20625106473859717,-1.525647175578509,-0.3503463790629118,0.0303335354571783,0.6717098066103341,-1.4726764974382947,-1.7829090249896709,0.5944575947952151,-1.5344045813984708,-1.5302755530581578,-1.5848631293438238,0.1759633029329432,0.11553690442814894,-0.06668097158677795,0.041977832654349866,0.13811935507889184,0.36712736341072016,0.7447112962822756,1.0702901224394994,1.7988012593067784,0.9742512968763367,1.440835142793745,2.2083962184934087,-0.36657548121619915,,1.0265864593174951,0.03770326977243237,-0.030108249074486924,0.26659391928766796,0.12174823654948809,0.004470345405317744,-0.040358952305677584,-0.5196614063335684,-0.20347509248676574,0.8842069091265033,,-0.32204916612799095,-0.5633835687667733,-0.5633835687667733,-0.19343187013103272,0.2556480352162475,0.9039472896047859,0.8842069091265012,0.20591052615377103,0.5619771553829135,0.6214599534733736,-0.13003485437773213,-0.9925515660935138
2002-03-31,-1.4147073473564278,-1.4147073473564278,0.8651161547332892,-0.5097357797397432,0.03135211296134682,-0.09223493049321985,1.8538173353597294,1.1091836920217304,1.5878890983035379,1.4361966305356668,1.671125323085069,-1.5027441942292445,-1.4157149279870427,-1.3915231518498303,-1.0824691284758783,1.9884413195452146,-1.2864522652991386,-1.4194365419715913,-1.282252769476246,-1.465109826653062,Canada,0.6183039814681953,0.14841387145355892,-0.15027768988982637,-0.27237778705916627,0.29568061704839094,0.2734928502087625,-1.3475203451825626,-0.7882423074059005,0.5717141329461325,-1.4991657791594988,-1.5344576048091958,-1.5508108240926977,0.5926709937685584,0.17477183162820562,0.02133796958706163,-0.0017143239531468236,0.04310806771311394,0.25571701062279284,0.530365564586233,0.7415374945637117,1.2460271641900624,0.06347764127259693,0.973751102142967,1.7907999557249992,-0.20880934962524597,0.4001998455545224,1.7327136473045759,-0.2414388199076625,-0.11612503416297332,0.5134399914692144,0.06306800327564875,0.4154489736549317,-0.3096700919917404,1.4861030209662922,-0.3719103814454705,0.5383809327064656,-0.16328286048456625,-0.1896626976736315,-0.5633835687667733,-0.5633835687667733,-0.2744961797010617,0.39210633279937623,0.3755714013808455,0.5383809327064629,-0.0398934298614083,0.36099005243351856,0.8039095285001627,0.11756189068038794,-0.733858549292614
2002-06-30,-1.379661850446303,-1.379661850446303,0.6557344721640798,-0.655604057935223,0.1546793206148827,0.2093484908455653,1.6793326264520767,1.310429930357676,1.5305782180338459,1.5273531384899037,1.3928220948475598,-1.4485276459857725,-1.3922916770493683,-1.378940684582661,-1.076495341929617,1.658525520162381,-1.4032136839508582,-1.3959106072748786,-1.2582424444342797,-1.4133995601465388,Canada,0.06547039730377748,0.25865734406455543,0.34325553637500356,-0.6536481656504601,0.6971901083648452,-0.29964345018016453,-0.9512473668523523,-0.7582343712980191,0.43349587880134693,-1.4127414444462363,-1.4987991504607099,-1.5316788257461533,0.8605548919970226,0.5894136564702017,0.10935691076090122,0.03251607450932842,-0.0003712423752155011,0.13948027352851658,1.1042523473507926,0.5282526394555638,1.060607212431008,-0.08819004536198513,0.06687079662009014,1.4451309002703319,0.14425610690366739,0.06366796225692765,1.4023425516810615,-0.30769216285400575,-0.053896737097609046,0.6721268088312158,0.06775227535906717,0.0060390121798105205,-0.20386928711534452,0.5353589477135491,-0.2817027896974536,0.7062681660049042,0.12064544172836429,0.026666729100189177,-0.5633835687667733,-0.5633835687667733,-0.21210404052530446,0.47532462649443036,-1.1091478564662687,0.7062681660049018,-0.9831348505917065,-0.2821708476739388,0.538405551509178,0.398773940236713,-0.23712880849703116
