date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff
2000-03-31,13878.147,10002.179,4.0,171.0,3.37685727149929,5.88,6.03,92.083,1052.904,1409.487,-30557.0,6686.5,1950.65,131604.0,4711.7,100.56,2043.94,1866.308,281409.0,178370500.0,USA,,,,,,,,,,,,,,,,,,,,,,,,,-220.18069126951892,13.44781835788308,,,,,,
2000-06-30,14130.908,10247.72,4.0,172.2,3.5302324829715364,5.88,6.03,93.0018,1093.36,1455.86,-30405.0,6746.9,2075.786,132062.0,4773.6,100.56,2043.94,1908.645,282126.0,179071200.0,USA,1.8212878131352639,,,,,,,,,13878.147,,,4.0,,,3.37685727149929,,,92.083,,,5.88,,,-215.16664038857238,13.50688151108195,,,,252.7609999999986,458.0,0.9188000000000045
2000-09-30,14145.312,10318.165,3.9,173.6,3.4455337124860193,6.23,5.8,92.9827,1125.002,1518.869,-33333.0,6888.6,2059.969,132338.0,4855.3,100.56,2043.94,1918.617,282932.0,179614500.0,USA,0.10193258635609048,,,,,,,,,14130.908,13878.147,,4.0,4.0,,3.5302324829715364,3.37685727149929,,93.0018,92.083,,5.88,5.88,,-235.64697618546697,13.563624471485678,,,,14.404000000000451,276.0,-0.019100000000008777
2000-12-31,14229.765,10435.744,3.9,174.6,3.185841559312327,5.89,5.12,92.3457,1113.177,1524.52,-33420.0,6952.2,2067.227,132716.0,4927.7,100.56,2043.94,1938.796,283696.0,180062100.0,USA,0.5970387927816567,,,,,,,,,14145.312,14130.908,,3.9,4.0,,3.4455337124860193,3.5302324829715364,,92.9827,93.0018,,6.23,5.88,,-234.8598167292292,13.624933370298105,,3.95,3.384616256567293,84.45299999999952,378.0,-0.6370000000000005
2001-03-31,14183.12,10470.231,4.3,176.1,2.82617111885407,4.3,4.93,91.0585,1096.812,1499.464,-32812.0,6996.7,1971.333,132751.0,5074.9,100.56,2043.94,1982.626,284350.0,180598400.0,USA,-0.3277988076401672,2.1975051856706784,-1.112583212970908,0.8715540561077262,4.639198384805199,1.0603132289236816,4.170180757220021,6.383670087060023,7.708470403463719,14229.765,14145.312,13878.147,3.9,3.9,4.0,3.185841559312327,3.4455337124860193,3.37685727149929,92.3457,92.9827,92.083,5.89,6.23,5.88,-231.34543034254804,13.978771948626253,,4.025,3.246944718405988,-46.64499999999862,35.0,-1.2871999999999986
2001-06-30,14271.694,10599.0,4.5,177.7,2.4201185548309674,3.65,5.42,89.7811,1058.013,1422.028,-29151.0,7069.7,1973.033,132299.0,5180.3,100.56,2043.94,2003.581,285062.0,181356400.0,USA,0.624502930243831,0.9962983270431103,-3.463051252771465,0.17946116218139352,4.7844195111829135,-4.950076742014842,-3.2328784663788634,-2.3238498207245106,8.519775431540122,14183.12,14229.765,14130.908,4.3,3.9,4.0,2.82617111885407,3.185841559312327,3.5302324829715364,91.0585,92.3457,93.0018,4.3,5.89,5.88,-204.25746235870807,14.038845003263104,,4.15,2.969416236370846,88.5739999999987,-452.0,-1.2774
2001-09-30,14214.516,10598.02,5.0,178.1,2.0315179632438527,2.4,4.6,88.6749,998.902,1369.536,-30217.0,7007.0,1944.909,131763.0,5355.3,100.56,2043.94,2037.703,285843.0,181988900.0,USA,-0.40063919531907466,0.48923629256110157,-4.632904830683559,-0.4344934939322087,1.7187817553639295,-5.585520947159884,-11.208868962010731,-9.831855150114976,10.298024838835907,14271.694,14183.12,14145.312,4.5,4.3,3.9,2.4201185548309674,2.82617111885407,3.4455337124860193,89.7811,91.0585,92.9827,3.65,4.3,6.23,-212.57846556294987,14.33536674762616,,4.425,2.6159122990603043,-57.177999999999884,-536.0,-1.1062000000000012
2001-12-31,14253.574,10660.465,5.7,177.4,1.7310274112384303,1.74,5.07,87.8518,953.52,1323.208,-27488.0,7166.7,1850.091,130983.0,5440.7,100.56,2043.94,2045.404,286570.0,182712100.0,USA,0.2747754478590769,0.16731829373148877,-4.86638793143589,-1.3057958347147292,3.0853542763441766,-10.503732778258023,-14.34246305843545,-13.20494319523522,10.410536355703481,14214.516,14271.694,14229.765,5.0,4.5,3.9,2.0315179632438527,2.4201185548309674,3.185841559312327,88.6749,89.7811,92.3457,2.4,3.65,5.89,-192.84987751142276,14.350113171615764,0.9625895247515948,4.875,2.25220876204183,39.0580000000009,-780.0,-0.8230999999999966
2002-03-31,14372.785,10783.5,5.7,178.5,1.58603162650601,1.79,5.42,89.1265,969.157,1356.041,-31161.0,7243.4,1912.659,130722.0,5502.2,100.56,2043.94,2091.469,287190.0,183076900.0,USA,0.8363586564324121,1.3372586567694578,-2.1217129647424504,-1.528425397925437,3.525947946889252,-2.9763616801423143,-11.638731159031801,-9.564951209232097,8.419870342272763,14253.574,14214.516,14183.12,5.7,5.0,4.3,1.7310274112384303,2.0315179632438527,2.82617111885407,87.8518,88.6749,91.0585,1.74,2.4,4.3,-216.80558082514975,14.551591775706656,0.7475278925262896,5.225,1.9421738889548152,119.21099999999933,-261.0,1.2746999999999957
2002-06-30,14460.848,10887.46,5.8,179.6,1.6293657257162366,1.7,4.86,90.6736,1004.154,1432.413,-34732.0,7322.5,1933.282,130673.0,5553.5,100.56,2043.94,2130.186,287864.0,183669200.0,USA,0.6127065840058066,1.3253787532159889,0.9940845010809607,-1.2290342330629866,3.575823585159199,-2.014715415302226,-5.090580172455339,0.730295043416862,7.204215972047945,14372.785,14253.574,14271.694,5.7,5.7,4.5,1.58603162650601,1.7310274112384303,2.4201185548309674,89.1265,87.8518,89.7811,1.79,1.74,3.65,-240.1795524024594,14.730712887653615,0.8297979990695092,5.55,1.7444856816761323,88.0630000000001,-49.0,1.5471000000000004
