date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff
2016-12-31,135720550.0,136135700.0,3.0,0.3053952999999999,0.2822513424977129,-0.0439999999999999,0.04,101.49,13.0414522993761,12.3067940201166,-0.24,74835400000000.0,26804800000000.0,74.93375,686223300000000.0,116.082272727273,98.21703,26801200.0,127004695.5966826,76374130.0,Japan,0.13745603048676003,0.9451858408066949,3.465835324269917,1.4715413179617443,0.08321834668649775,0.6813554992976201,-2.8394212916203143,-8.73751480237156,9.172953072656087,135534250.0,135268450.0,134449750.0,3.0333330000000003,3.166667,3.266667,0.0939679936295862,-0.051031663628956996,-0.11133271717236419,100.9901,99.19024,98.09035,-0.0519999999999999,-0.055,0.07,-1.768339429806319e-07,19.747341135885467,0.7295684043200246,3.1083332500000003,0.049482207002157524,186300.0,0.12489999999999668,0.4998999999999967
2017-03-31,136794450.0,136919275.0,2.9,0.3408315999999999,0.484199796126422,-0.042,0.065,101.49,14.0640962411728,13.4857483131126,-0.24,75247650000000.0,26876575000000.0,74.91708,698861200000000.0,113.031739130435,100.0903,26876400.0,126972000.0,76084110.0,Japan,0.791258214028745,0.9597469409173387,1.601589025226402,1.0485476807361893,0.5804105346065791,-0.23950395492389198,9.230572176555851,7.987638859649482,8.853459750954883,135720550.0,135534250.0,135494050.0,3.0,3.0333330000000003,3.233333,0.2822513424977129,0.0939679936295862,-0.127258844489712,101.49,100.9901,99.89017,-0.0439999999999999,-0.0519999999999999,-0.003,-1.7544571435463937e-07,19.647288322004293,0.7602451391735321,3.0250000000000004,0.20234686715619105,1073900.0,-0.016670000000004848,0.0
2017-06-30,137341900.0,137638875.0,2.866667,0.4076086999999999,0.6819882221674338,-0.0559999999999998,0.075,102.9899,13.9196937310298,13.6580744595008,-0.24,75663250000000.0,26746450000000.0,75.37791,708769800000000.0,110.881818181818,103.3824,26756400.0,126934277.31371176,76202700.0,Japan,0.40019898468102166,1.5328408065591104,3.8306793087707014,1.3371142885259868,1.7268691727786667,0.15277665962072362,8.920665608586154,14.319588476452871,7.614293815634343,136794450.0,135720550.0,135268450.0,2.9,3.0,3.166667,0.484199796126422,0.2822513424977129,-0.051031663628956996,101.49,101.49,99.19024,-0.042,-0.0439999999999999,-0.055,-1.7474638111166367e-07,19.481600298233822,1.0151139362368056,2.95,0.38560183860528874,547450.0,0.4608300000000014,1.499900000000011
2017-09-30,138476125.0,139283550.0,2.8,0.6126616999999999,0.8502348478696017,-0.0579999999999998,0.06,102.5899,14.1574689943261,13.482631312262,-0.24,75402325000000.0,26853375000000.0,75.61219,721185000000000.0,110.665238095238,105.6405,26851375.0,126893101.53966734,76045940.0,Japan,0.8258404754849069,2.1705768099207434,1.5841156707439685,1.0738569032941792,0.9790920130210878,0.18131097910727423,12.643972950706605,14.28406944274272,7.557904551858097,137341900.0,136794450.0,135534250.0,2.866667,2.9,3.0333330000000003,0.6819882221674338,0.484199796126422,0.0939679936295862,102.9899,101.49,100.9901,-0.0559999999999998,-0.042,-0.0519999999999999,-1.733150750716053e-07,19.390616974586774,1.4020875995509718,2.8916667499999997,0.5746685521652926,1134225.0,0.23427999999999827,-0.4000000000000057
2017-12-31,138608575.0,139199075.0,2.7,0.5751015,0.9610082751698145,-0.042,0.045,105.4896,14.5365372562893,13.9728670992118,-0.24,75622550000000.0,26854850000000.0,75.95721,733531000000000.0,112.951904761905,116.6513,26845350.0,126851007.4475803,75884830.0,Japan,0.09564825705514757,2.127920200736,3.9408808749630486,1.3658198074966155,1.05184177541644,0.1867202889034747,11.4640986493868,13.537831838022552,6.893922138755704,138476125.0,137341900.0,135720550.0,2.8,2.866667,3.0,0.8502348478696017,0.6819882221674338,0.2822513424977129,102.5899,102.9899,101.49,-0.0579999999999998,-0.0559999999999998,-0.0439999999999999,-1.7314946063041193e-07,19.367741137227622,1.697771189533298,2.81666675,0.744357785333318,132450.0,0.3450200000000052,2.8996999999999957
2018-03-31,138719650.0,139606875.0,2.466667,1.290761,0.9890945980218108,-0.0619999999999999,0.045,105.1618,14.476460603967,14.4284216126009,-0.24,75544100000000.0,27053750000000.0,76.59308,743301200000000.0,106.024545454545,110.6344,27051000.0,126811000.0,75881530.0,Japan,0.08013573474801028,1.4073670386481218,3.6178933885111952,2.2371400487045223,0.39396579162271905,0.6592171807605629,2.932035985270054,6.990144540749821,6.358916477263299,138608575.0,138476125.0,136794450.0,2.7,2.8,2.9,0.9610082751698145,0.8502348478696017,0.484199796126422,105.4896,102.5899,101.49,-0.042,-0.0579999999999998,-0.042,-1.7301081714090254e-07,19.500481726993975,1.8096762139659939,2.7083334999999997,0.8705814858071652,111075.0,0.635869999999997,-0.3277999999999963
2018-06-30,139270975.0,139723175.0,2.366667,0.6765899999999999,0.9225772890039171,-0.0709999999999999,0.03,103.7038,14.7032023278992,14.4013337026935,-0.24,75702075000000.0,27031925000000.0,76.91143000000001,754458900000000.0,110.009523809524,113.6132,27059175.0,126772715.79843417,75658460.0,Japan,0.397438286500873,1.4045786464290888,0.6931747676228506,2.0344421860462925,0.051312889678944984,1.0673379083953272,5.628777557963094,5.441903581625862,6.446253776614075,138719650.0,138608575.0,137341900.0,2.466667,2.7,2.866667,0.9890945980218108,0.9610082751698145,0.6819882221674338,105.1618,105.4896,102.9899,-0.0619999999999999,-0.042,-0.0559999999999998,-1.7232592792575768e-07,19.429156003251936,1.7776106739334885,2.5833335,0.930728752516286,551325.0,0.31835000000000946,-1.4579999999999984
2018-09-30,138469975.0,138842175.0,2.433333,1.116373,0.7867064767680401,-0.0579999999999998,0.125,102.1546,14.695962607271,15.0939461886234,-0.24,75717100000000.0,27070250000000.0,77.17795,764851000000000.0,111.9375,112.7055,27056475.0,126732858.03087987,75578580.0,Japan,-0.5751377844522176,-0.0044411987987103,-0.4243107752322617,2.0707772119813006,0.41746060217640046,0.8076266018703482,3.8036008636904706,11.951041595982549,6.054757101159902,139270975.0,138719650.0,138476125.0,2.366667,2.466667,2.8,0.9225772890039171,0.9890945980218108,0.8502348478696017,103.7038,105.1618,102.5899,-0.0709999999999999,-0.0619999999999999,-0.0579999999999998,-1.7332277268050348e-07,19.539596941503024,1.233856171753625,2.4916667500000003,0.9148466597408956,-801000.0,0.26651999999998566,-1.549199999999999
2018-12-31,138232900.0,138365325.0,2.466667,0.8745374999999999,0.6212541762311926,-0.068,-0.01,104.4328,14.7392956745525,15.4319337896071,-0.24,75581075000000.0,27257950000000.0,77.36764000000001,773895500000000.0,112.224761904762,100.4797,27245650.0,126687341.30159862,75328660.0,Japan,-0.17121040138845522,-0.27103301509303623,-1.0018049172619836,1.856874416530041,-0.0548447519952755,1.5010324019683496,1.394819238505196,10.442142475380777,5.502766754233979,138469975.0,139270975.0,138608575.0,2.433333,2.366667,2.7,0.7867064767680401,0.9225772890039171,0.9610082751698145,102.1546,103.7038,105.4896,-0.0579999999999998,-0.0709999999999999,-0.042,-1.736200282277229e-07,19.709960508677746,0.634117867796366,2.4333335,0.8299081350062402,-237075.0,0.18969000000001301,2.2781999999999982
2019-03-31,138566875.0,139700200.0,2.466667,0.3018108999999999,0.468776159383928,-0.0409999999999998,-0.095,102.7014,14.0392224841718,14.3213172176115,-0.24,75394150000000.0,27338175000000.0,77.62021,784928000000000.0,111.228095238095,103.3572,27329450.0,126633000.0,75379860.0,Japan,0.24160312053063127,-0.1101321982862613,-2.3396328324543636,1.3410219304407223,-0.1984933303858294,1.0513329945016858,-3.020338546532453,-0.7423153957177298,5.60026002917795,138232900.0,138469975.0,138719650.0,2.466667,2.433333,2.466667,0.6212541762311926,0.7867064767680401,0.9890945980218108,104.4328,102.1546,105.1618,-0.068,-0.0579999999999998,-0.0619999999999999,-1.732015678350255e-07,19.722931616953908,0.25474305856277024,2.4333335000000003,0.6998285253467694,333975.0,0.2525699999999915,-1.7313999999999936
