Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.285,2.913,1.075,0.735,0.483,-0.856
Ridge,2.356,4.165,0.795,0.109,-0.057,-0.015
LASSO,2.440,4.152,1.273,0.045,-0.051,-1.602
Random Forest,1.042,3.883,1.038,0.826,0.081,-0.729
XGBoost,1.357,4.104,0.890,0.705,-0.027,-0.272
Gradient Boosting,1.383,4.125,0.985,0.693,-0.037,-0.558
Stacking Ensemble,1.161,4.128,0.920,0.784,-0.039,-0.358
