Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,12.100,12.603,35.675,0.465,-3.650,-461.843
Ridge,15.063,12.509,36.271,0.171,-3.581,-477.443
LASSO,15.262,11.327,36.470,0.148,-2.756,-482.701
Random Forest,12.095,4.200,1.888,0.465,0.484,-0.296
XGBoost,1.006,4.994,1.593,0.996,0.270,0.078
Gradient Boosting,14.118,5.408,2.063,0.271,0.144,-0.548
Stacking Ensemble,7.802,10.284,20.679,0.777,-2.096,-154.505
