Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
JAPAN,h2,Ridge,1.959,5.784,8.061,0.376,-0.997,-92.345,14.3%,35.7%
JAPAN,h2,LASSO,2.415,4.396,0.940,0.052,-0.154,-0.271,100.0%,100.0%
JAPAN,h2,Random Forest,1.922,4.451,1.025,0.400,-0.183,-0.510,85.7%,100.0%
JAPAN,h2,XGBoost,2.238,4.240,0.953,0.187,-0.073,-0.306,100.0%,100.0%
JAPAN,h2,Gradient Boosting,2.183,4.403,1.016,0.226,-0.157,-0.482,85.7%,100.0%
JAPAN,h2,Ensemble,N/A,N/A,1.046,N/A,N/A,-0.572,71.4%,100.0%
