Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.582,2.084,1.509,0.931,0.735,-2.708
Ridge,0.690,2.573,1.563,0.904,0.596,-2.978
LASSO,0.685,2.646,1.460,0.905,0.573,-2.471
Random Forest,0.971,3.009,1.162,0.809,0.448,-1.198
XGBoost,0.279,3.045,0.791,0.984,0.435,-0.019
Gradient Boosting,0.647,2.949,1.073,0.915,0.470,-0.875
