Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.438,3.669,2.122,0.922,0.606,-0.641
Ridge,0.521,2.241,2.324,0.889,0.853,-0.968
LASSO,0.632,1.799,2.018,0.837,0.905,-0.484
Random Forest,0.906,5.034,1.911,0.666,0.258,-0.331
XGBoost,1.324,5.703,1.664,0.287,0.048,-0.008
Gradient Boosting,1.216,5.522,1.722,0.398,0.107,-0.080
