Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.285,6.312,3.688,0.977,0.687,-0.804
Ridge,1.341,10.615,4.174,0.498,0.116,-1.312
LASSO,1.850,11.289,2.939,0.044,-0.000,-0.146
Random Forest,1.335,10.979,3.158,0.502,0.054,-0.323
XGBoost,1.632,11.133,2.818,0.256,0.027,-0.054
Gradient Boosting,1.555,11.109,2.964,0.324,0.032,-0.166
