Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.236,9.044,6.406,0.978,-3.052,-60.121
Ridge,0.250,8.185,6.356,0.975,-2.319,-59.169
LASSO,1.384,4.262,3.085,0.236,0.100,-13.177
Random Forest,0.758,3.875,0.953,0.771,0.256,-0.351
XGBoost,1.367,4.414,0.828,0.254,0.035,-0.020
Gradient Boosting,1.249,4.258,0.750,0.377,0.102,0.163
