Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.918,10.640,1.924,0.654,0.112,0.482
Ridge,1.242,11.713,2.545,0.366,-0.077,0.094
LASSO,1.387,11.527,2.680,0.209,-0.043,-0.004
Random Forest,0.760,11.421,2.725,0.762,-0.024,-0.039
XGBoost,1.020,11.341,2.690,0.572,-0.009,-0.012
Gradient Boosting,1.122,11.317,2.709,0.482,-0.005,-0.027
Stacking Ensemble,1.296,11.487,2.964,0.309,-0.035,-0.229
