Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,12.341,8.807,29.604,0.415,-3.728,-1405.911
Ridge,13.298,11.588,24.715,0.321,-7.186,-979.559
LASSO,15.769,5.949,6.873,0.045,-1.158,-74.824
Random Forest,14.070,4.053,2.930,0.240,-0.002,-12.784
XGBoost,12.980,3.984,2.392,0.353,0.032,-8.182
Gradient Boosting,14.293,4.057,3.199,0.216,-0.003,-15.428
Stacking Ensemble,19.067,6.403,5.095,-0.396,-1.499,-40.666
