Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,8.311,14.538,37.296,0.747,-5.187,-504.846
Ridge,13.053,13.095,37.772,0.377,-4.020,-517.859
LASSO,13.384,12.605,27.004,0.345,-3.651,-264.197
Random Forest,12.090,3.929,1.865,0.466,0.548,-0.265
XGBoost,14.768,5.537,2.070,0.203,0.102,-0.558
Gradient Boosting,14.170,5.361,2.005,0.266,0.159,-0.462
Stacking Ensemble,23.523,6.987,7.985,-1.023,-0.429,-22.187
