Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.731,10.306,3.222,0.780,0.167,-0.452
Ridge,1.242,11.666,3.064,0.366,-0.068,-0.313
LASSO,1.287,11.315,3.032,0.319,-0.005,-0.286
Random Forest,0.767,11.452,2.726,0.758,-0.029,-0.040
XGBoost,1.020,11.393,2.774,0.572,-0.018,-0.077
Gradient Boosting,1.120,11.337,2.706,0.484,-0.009,-0.024
Stacking Ensemble,2.028,10.962,2.617,-0.691,0.057,0.042
