Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.421,7.831,10.831,0.929,-2.037,-173.722
Ridge,0.827,8.895,12.803,0.727,-2.919,-243.117
LASSO,1.384,4.262,3.085,0.236,0.100,-13.177
Random Forest,1.087,4.493,0.840,0.529,-0.000,-0.051
XGBoost,1.378,4.502,0.911,0.243,-0.004,-0.235
Gradient Boosting,1.280,4.480,0.857,0.347,0.006,-0.094
