Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.742,7.198,1.100,0.748,0.124,0.103
Ridge,1.209,7.465,0.965,0.332,0.058,0.309
LASSO,1.342,7.619,1.184,0.177,0.019,-0.040
Random Forest,0.656,7.311,1.306,0.803,0.097,-0.266
XGBoost,0.346,7.191,1.271,0.945,0.126,-0.197
Gradient Boosting,0.408,7.091,1.119,0.924,0.150,0.072
Stacking Ensemble,1.571,7.585,0.866,-0.127,0.028,0.444
