Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.707,7.352,1.333,0.772,0.087,-0.318
Ridge,1.084,7.242,2.008,0.463,0.114,-1.991
LASSO,1.144,7.347,2.012,0.402,0.088,-2.002
Random Forest,0.652,7.299,1.299,0.806,0.100,-0.251
XGBoost,0.776,7.373,1.303,0.725,0.081,-0.259
Gradient Boosting,0.505,7.059,1.236,0.884,0.158,-0.133
Stacking Ensemble,1.271,7.124,1.314,0.262,0.142,-0.281
