,mean,std
bond_corporate,172.51414071428567,60.70687739000198
bond_gov_10y,3.7014142857142858,2.3955626544611865
bond_gov_2y,2.6728642857142857,2.6534669440518277
bond_gov_5y,3.1197071428571426,2.548695331347971
capital_formation,120390160000.0,14531076400.715277
consumer_confidence,101.60905742857143,0.9453947083255898
cpi_all_items,20.537874314685716,32.21742461102112
cpi_annual_growth,1.716495816182365,1.0144442771418496
credit_spread,169.29489785714287,62.22559029223233
credit_spread_change,2.311047857142855,4.437194315931352
employment_level,81.310243,0.8480842522196002
exchange_rate_usd,0.9027138087779409,0.1265832308179106
exports_volume,20.386957077514847,1.803859469530231
gdp_nominal,475164.1257142856,134185.26867536132
gdp_real,480619.5198138233,71120.35652853675
government_spending,118668.61135677635,15563.941246085167
household_consumption,275172302142.8571,29505061325.285267
imports_volume,22.50206905393287,3.0429910438575853
industrial_production_index,101.09469328571427,6.9194838805045125
interest_rate_long_term,3.694642857142857,2.398929140806473
interest_rate_short_term,2.5988191155531757,2.904816606075267
population_total,64342538.79807814,2811624.084452244
population_working_age,28.046947660067996,4.080442115935063
stock_market_index,100.974759,25.08806568316346
trade_balance,0.006999999999999927,1.4057654664852848
unemployment_rate,9.332977677817567,1.6577536753849442
yield_curve_curvature,0.1348642857142857,0.2497073167511406
yield_curve_slope,1.02855,0.7432468564133624
gdp_growth_qoq,0.3841434882868366,1.8069373710262262
gdp_growth_yoy,1.5302771872927408,2.6958064205792005
ip_growth,0.2926002612716467,4.218339321143727
employment_growth,0.08425020140371375,0.588001780939425
consumption_growth,0.8811821979685677,2.3194331152551757
investment_growth,0.994696533080032,2.1991177936407023
exports_growth,0.9051185921307061,6.646686353210791
imports_growth,1.4502071276221198,8.232022125634307
gdp_real_lag1,479828.5747796225,70756.90935251844
gdp_real_lag2,479026.1667739115,70377.08935343934
gdp_real_lag4,477398.7396237234,69585.90952277194
unemployment_rate_lag1,9.346800970463738,1.655631549367473
unemployment_rate_lag2,9.36082460068449,1.6533567045150328
unemployment_rate_lag4,9.389490550694555,1.6483222281509078
cpi_annual_growth_lag1,1.714463056421701,1.017826964536952
cpi_annual_growth_lag2,1.7124008363746508,1.0212434185270154
cpi_annual_growth_lag4,1.7081854159843568,1.0281798765790546
industrial_production_index_lag1,101.11634381294962,6.939748441162232
industrial_production_index_lag2,101.13830811594201,6.960179217315436
industrial_production_index_lag4,101.18320573529411,7.001547314293028
interest_rate_short_term_lag1,2.603671486716799,2.9147528011006925
interest_rate_short_term_lag2,2.6085941821001852,2.9247912658320914
interest_rate_short_term_lag4,2.613313679876168,2.9459609513357634
gdp_growth_yoy_lag1,1.538397822759258,2.7041765784831933
gdp_growth_yoy_lag4,1.5605401617232018,2.730790505673525
trade_gdp_ratio,4.2802447269088575e-05,0.00032396566899768007
gov_gdp_ratio,24.811315800184982,1.5175734547683286
gdp_growth_yoy_ma4,1.5397676090403631,2.0217861505858576
unemployment_rate_ma4,9.353342327696787,1.645244645077116
cpi_annual_growth_ma4,1.7138459875937604,0.9792764658879892
gdp_real_diff,1699.3818673937335,9018.137641712212
employment_level_diff,0.016554460431654747,0.2199750796234035
industrial_production_index_diff,0.04825676258992805,2.109184607270815
gdp_volatility_4q,1.0699601671553207,1.79489874788487
stock_volatility_4q,0.05639986299991135,0.05063497220502934
gdp_momentum,-0.02663483562627108,4.368181401931652
inflation_momentum,0.009502633403098825,0.9931068165487349
high_inflation_regime,0.09285714285714286,0.2912742674344506
high_volatility_regime,0.24285714285714285,0.430349173462308
inflation_x_volatility,2.127358227265667,5.208077516528182
unemployment_x_inflation,15.443229626118162,7.764588051411209
stock_returns_1q,0.5563737948789924,7.616194474707727
stock_volatility_4q_v6,5.639986299991127,5.063497220502935
risk_adjusted_returns,0.2523374607740845,1.1603591701137974
unemployment_momentum_v6,-0.013346230215827353,0.2857793266206607
unemployment_vs_5y_avg,-0.17713536032454893,1.0620184877243957
inflation_acceleration_v6,0.0023243851489594246,0.2821191301385809
inflation_z_score,0.11209466909385553,1.2498075652379461
financial_conditions_index,-0.0032144702432000166,0.6201896775723585
