,mean,std
bond_corporate,211.05441847826086,66.76749019300725
bond_gov_10y,2.4588152173913045,2.114730919489207
bond_gov_2y,2.5306956521739132,3.50791798895709
bond_gov_5y,1.8787173913043476,2.037524262893986
capital_formation,23841180706521.74,2884144290944.0254
consumer_confidence_japan,99.96268570652173,1.3827476395461817
cpi_all_items,41.29665484458333,45.535380342849784
cpi_annual_growth,-0.0114591469612325,1.1524879300516533
credit_spread,212.84693695652174,62.433798390066926
credit_spread_change,0.13277173913043222,12.80810535692381
employment_level,71.40724858695651,3.5801013735600136
exchange_rate_usd,116.41467001822907,14.068635709554286
exports_volume,11.171311152715116,3.259527016658035
gdp_nominal,1461680711004.0208,1888369077562.5068
gdp_real,129656838.96706353,5482703.172687843
government_spending,23821199.45652174,2841162.056976412
household_consumption,70622571875000.0,3064708934065.362
imports_volume,10.048677708498916,4.737601297871632
industrial_production_index,97.13366673913042,10.833083238492403
industrial_production_japan,97.2165252173913,10.75703708550531
interest_rate_long_term,0.9730326086956522,0.4824638371133315
interest_rate_short_term,0.09106586956521738,0.12126203175639028
money_supply_broad,492803497830017.2,248124823521661.75
population_total,125139946.9589306,2891475.9035508023
population_working_age,82470315.81521739,4687122.556790254
stock_market_index,8127.003883690391,10088.209014818824
trade_balance,1.6671739130434786,1.33592588885684
unemployment_rate,3.3340579728260864,1.0165715742892911
yield_curve_curvature,0.0705543478260876,0.2736941719555122
yield_curve_slope,0.6040978260869565,0.6812707117787237
gdp_growth_qoq,0.07130470803681974,1.2952727109565911
gdp_growth_yoy,0.28876723721315556,2.5538984909290328
ip_growth,0.8143808882558344,6.635303254960287
employment_growth,0.3302785463501338,0.6821765631777913
consumption_growth,0.21854020525917178,1.508827750259033
investment_growth,0.7468963924836075,1.0296369661716605
exports_growth,2.212651809123384,9.306895728199061
imports_growth,3.5546350281944132,12.188615495277284
m2_growth,3.0083846828757634,5.014656914415626
gdp_real_lag1,129598212.67726606,5439605.554566898
gdp_real_lag2,129538942.14252576,5395030.611368711
gdp_real_lag4,129418425.38855383,5301176.464570426
unemployment_rate_lag1,3.3386156666666666,1.01747370036908
unemployment_rate_lag2,3.3432234450549445,1.018364132468664
unemployment_rate_lag4,3.352777777777778,1.019949194460191
cpi_annual_growth_lag1,-0.026486447307208793,1.1374301081724913
cpi_annual_growth_lag2,-0.04167888282182219,1.1217947306140574
cpi_annual_growth_lag4,-0.07257016836820272,1.0886506204756468
industrial_production_index_lag1,97.16001038251365,10.856892217698297
industrial_production_index_lag2,97.1866435164835,10.880846121720488
industrial_production_index_lag4,97.24079755555556,10.929193661139056
interest_rate_short_term_lag1,0.08895693989071038,0.11816269381816114
interest_rate_short_term_lag2,0.08682483516483516,0.11490462240713017
interest_rate_short_term_lag4,0.08248955555555555,0.10784583767448783
gdp_growth_yoy_lag1,0.290603223275178,2.560943190267573
gdp_growth_yoy_lag4,0.27882035939076716,2.5803156973925416
trade_gdp_ratio,1.3155794313711876e-06,1.0416206694442866e-06
gov_gdp_ratio,18.335549971255933,1.6171215423772145
gdp_growth_yoy_ma4,0.2913350530309852,2.0578437450616534
unemployment_rate_ma4,3.3524861896869247,1.0072476131886723
cpi_annual_growth_ma4,-0.028211077398625394,1.1070266893413472
gdp_real_diff,83097.239079941,1723874.8343380378
employment_level_diff,0.06035825136612019,0.20513673259185963
industrial_production_index_diff,0.11276489981785062,3.2307689275058356
gdp_volatility_4q,1.0414551183313763,1.438643325814494
stock_volatility_4q,0.08210960025119858,0.06924002625533117
gdp_momentum,0.016509769577232793,3.9587691609398
inflation_momentum,0.07730205156700536,0.7640151584794076
high_inflation_regime,0.09239130434782608,0.29036765677126614
high_volatility_regime,0.24456521739130435,0.43100191584394926
inflation_x_volatility,0.0011303618558778524,1.780781911225867
unemployment_x_inflation,-0.21895526357862263,3.5055816590793873
stock_returns_1q,0.7660067080155036,11.42710421802222
stock_volatility_4q_v6,8.210960025119876,6.924002625533113
risk_adjusted_returns,0.38112616521943027,1.4495181042430736
unemployment_momentum_v6,0.0032786885245901644,0.12715130652484022
unemployment_vs_5y_avg,0.02370819227527752,0.5325647647086613
inflation_acceleration_v6,0.01900870120500131,0.22336436409422503
inflation_z_score,0.22806790104125987,1.047439203495054
financial_conditions_index,-0.0023038029437874802,0.640788206256094
