Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.346,7.485,2.935,0.967,0.560,-0.143
Ridge,1.018,8.847,2.139,0.710,0.386,0.393
LASSO,0.460,5.992,1.393,0.941,0.718,0.743
Random Forest,0.789,10.049,2.565,0.826,0.208,0.127
XGBoost,1.626,11.158,2.707,0.261,0.023,0.028
Gradient Boosting,1.531,10.862,2.622,0.345,0.074,0.088
