Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.405,2.051,2.441,0.933,0.877,-1.170
Ridge,0.408,1.966,2.455,0.932,0.887,-1.196
LASSO,0.560,2.425,1.629,0.872,0.828,0.033
Random Forest,0.953,5.269,1.341,0.630,0.187,0.345
XGBoost,1.323,5.805,1.609,0.288,0.013,0.057
Gradient Boosting,1.236,5.629,1.543,0.378,0.073,0.133
