Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.533,1.200,1.664,0.942,0.912,-3.509
Ridge,0.622,1.396,1.532,0.922,0.881,-2.822
LASSO,0.563,1.377,1.494,0.936,0.884,-2.638
Random Forest,1.053,3.270,1.742,0.775,0.348,-3.941
XGBoost,0.300,2.938,1.551,0.982,0.474,-2.919
Gradient Boosting,0.352,2.967,2.400,0.975,0.463,-8.384
