Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.566,2.118,1.857,0.915,0.778,-4.135
Ridge,0.626,2.002,1.664,0.896,0.801,-3.122
LASSO,0.806,3.352,2.506,0.827,0.443,-8.356
Random Forest,0.587,2.872,1.692,0.908,0.592,-3.262
XGBoost,0.292,2.786,1.576,0.977,0.616,-2.700
Gradient Boosting,0.356,2.707,1.569,0.966,0.637,-2.664
