country,horizon,model,version,n_features,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,train_mape,val_mape,test_mape
usa,4,Ridge,v2,15,0.7473176404638042,2.166315060684005,0.3812376664825435,0.47847294146773756,1.4829700394314564,0.321796378256813,0.02499965868658549,-0.013404410514906484,-0.10893566554250844,215.2011913169812,96.55566147160438,103.23240828374607
usa,4,LASSO,v2,15,0.7568378617425454,2.1524792215370128,0.3853932931912622,0.48268763056614417,1.4826128067880342,0.3260925978245317,0.0,-0.0005009090907439617,-0.13324301635661517,138.05126268894543,99.64682467762958,102.71632313818897
usa,4,Random Forest,v2,15,0.5368460375536962,2.247935067339064,0.40946252459669374,0.34260649425296025,1.5538269644246807,0.35184975520108946,0.4968542556050153,-0.09120683239022531,-0.27921359374116306,1046.5857771918334,105.20939758456961,121.89066525994757
usa,4,XGBoost,v2,15,0.4097775443494599,2.2696021980836365,0.6745762117028494,0.26497013185916135,1.6313290111900267,0.6007065920905638,0.7068495190787667,-0.11234380086939999,-2.4719766080076195,529.9959616563306,155.0810356516193,382.6164406942917
usa,4,Gradient Boosting,v2,15,0.5319102363103411,2.255303187378589,0.6761246509894011,0.36351955529282837,1.640512154739828,0.6052790137520802,0.5060636408382158,-0.09837191446701343,-2.4879342274966865,519.5034514608634,160.0174955597364,413.99017995070614
usa,4,Ensemble,v2,15,,,0.4808145838559314,,,0.43040895055263856,,,-0.7638839572612828,,,
canada,4,Ridge,v2,15,0.6141473787188216,2.4118684588757673,0.3534774595454132,0.4369427611258377,1.8884740387619556,0.28419175995094276,0.009366967802389103,-0.0039666261000055325,-0.48651613211113354,102.66381702334147,99.8061568278204,126.93201204806996
canada,4,LASSO,v2,15,0.6170440941196448,2.407392193080762,0.35871775661394095,0.4382338608195869,1.88371333933301,0.2900148750273541,0.0,-0.00024349505587162312,-0.5309179893617682,102.81104677894963,99.37743891948287,146.68513608488246
canada,4,Random Forest,v2,15,0.5031916323811334,2.4632932401641545,0.3684801193246911,0.3723166235263374,1.9640232703058762,0.29479163586789237,0.33498043687785906,-0.04723529333846321,-0.6153785028913785,136.47436438095596,108.23265927210221,195.62104287955222
canada,4,XGBoost,v2,15,0.5424879725735925,2.4224044482991873,0.3606733098445708,0.3737927854542122,1.8918109449863059,0.2960903287139242,0.22705636001089313,-0.01275722632467069,-0.5476551143364363,90.48243608992843,99.40168382896671,212.6001121134557
canada,4,Gradient Boosting,v2,15,0.5352057042002457,2.4372234802450974,0.3703517975653063,0.37687341010709535,1.9155034005120275,0.30045251554392566,0.24766880999200658,-0.0251861892803249,-0.6318306663722562,94.73555581943323,101.76330276358915,315.56286153394944
canada,4,Ensemble,v2,15,,,0.360045126100254,,,0.2887152803523271,,,-0.5422687155717816,,,
japan,4,Ridge,v2,15,0.9090472670684334,1.7030579274794657,0.3638354052541796,0.6112719889596399,1.099375852670591,0.2815803923371444,0.02681399282472907,-0.03315578957048948,-0.0042611507397434245,110.48511769505096,102.55245491099618,114.75561362688819
japan,4,LASSO,v2,15,0.9214855674497631,1.7194365869724852,0.36328327735910504,0.6248161884039379,1.1139018786320085,0.2821745965524094,0.0,-0.053123491642851794,-0.001215488501997486,121.88032580888868,100.0140892564147,143.61316774889664
japan,4,Random Forest,v2,15,0.7242339457458018,1.6392679440849522,0.348074477968432,0.46535037234035087,1.0574988413771462,0.2784876473302167,0.38229562315328647,0.04279079591992074,0.08086118521052876,102.27157010614205,102.73532852110445,224.77258173786967
japan,4,XGBoost,v2,15,0.8186851592199194,1.6909016925458777,0.36212761607210325,0.5266540049094381,1.0988492405507302,0.2825726800224582,0.21067336046573604,-0.018459329840376126,0.005144427560764608,99.43868947619711,108.14316034761144,179.79272892703656
japan,4,Gradient Boosting,v2,15,0.7442449312918528,1.6482412463305967,0.3675164731975218,0.4786841378699974,1.0661407356952497,0.29359753592778665,0.3476890093009003,0.03228264636606826,-0.02468497008328585,105.87091742295698,127.18824884802989,329.6940370540841
japan,4,Ensemble,v2,15,,,0.3547777838585397,,,0.28228020501927276,,,0.04511828157561992,,,
uk,4,Ridge,v2,15,0.3790667784358943,2.6645037843525308,0.15845030200929863,0.22736391397664205,2.0767635220538567,0.1218228880065534,0.23500603049937718,-0.010208499070949228,-1.585112208043264,98.72696208487804,129.08046989638888,81.76045730488964
uk,4,LASSO,v2,15,0.4333978160839969,2.6517734187511355,0.21682286417040056,0.26199836367485846,2.0560175377836702,0.19313259067531233,0.0,-0.0005784870454423885,-3.8406469645654324,96.3894444419247,111.62747667120523,120.96808863008606
uk,4,Random Forest,v2,15,0.3605189832757668,2.6642546280201245,0.12469433763037388,0.21269416739885272,2.101194495107898,0.10775931413566067,0.30803705540381887,-0.01001957978480461,-0.6009830030622827,113.79758568285321,177.0278361208689,66.98612347624379
uk,4,XGBoost,v2,15,0.3913371610394578,2.6496315987599726,0.20802838817829292,0.2258841719564193,2.052092012832317,0.1875558531563194,0.18467878486592693,0.0010371815662006956,-3.455931072783179,86.70458881566135,94.66008953312067,120.83889592421467
uk,4,Gradient Boosting,v2,15,0.3738568255342397,2.6527112030378692,0.19025758003602333,0.22026413605517486,2.0720779747176072,0.17432140021302886,0.25588991451316767,-0.0012863097372834975,-2.7271527597145617,99.32934474309451,122.05864852692545,124.35160241184163
uk,4,Ensemble,v2,15,,,0.20802838817829292,,,0.1875558531563194,,,-3.455931072783179,,,
