date,gdp_constant,gdp_current,gdp_growth,unemployment,inflation,imports,gross_capital_formation,government_expenditure,population,urban_population,gni_per_capita,interest_rate,exchange_rate,fdi_inflows,external_debt,manufacturing_value_added,services_value_added
2000-01-01,221691970228.101,151752757215.309,4.20000000067826,22.714,5.33895913599827,33107016485.1348,22854391794.7246,25141206179.7497,47159719,26829636,3260,4.87058238653657,6.93982833333333,968831355.95909,26668247021.2,28784867305.0687,92851413003.3194
2001-01-01,227677653424.683,135429905922.526,2.70000000019104,22.605,5.70189483049609,30897364104.6692,19737256958.5887,22510957465.0597,47566800,27288122,3060,5.53834143030151,8.60918083333334,7270344986.4768,25680208730.5,25781734127.7875,82318562485.7928
2002-01-01,236102579035.79,129087556612.449,3.70037440406668,22.547,9.494713780996,32316210606.3261,19409759479.0957,21661392897.4863,48019415,27802281,2870,2.85418551575979,10.5407466666667,1479804588.75226,35100005788.3,24619814117.5383,78474635706.5586
2003-01-01,243065422272.369,197018965308.697,2.94907546754213,22.629,5.679424140688,42967056805.1894,30847485038.8294,33229851063.1351,48500348,28346513,3160,8.04784838623277,7.56474916666667,783136092.25814,40112300679.1,36452669387.9731,123288442670.074
2004-01-01,254135982543.496,255806908594.573,4.55455990721774,22.538,-0.692039437857689,58544113474.1233,43385750390.9242,43498529682.4478,48991421,28901509,4040,4.95038436200558,6.4596925,701422007.629778,44011450239.9,46019188388.6742,159954786767.73
2005-01-01,267546870424.295,288867217196.534,5.27705197295467,22.461,2.06285308223427,68831329348.0066,48621596590.08,46648873796.0992,49490033,29464386,5430,4.76148920296545,6.35932833333333,6522098178.1805,45092242706.5,50177910276.0543,180960216331.034
2006-01-01,282539679229.874,303858675363.643,5.60380645895889,22.324,3.24390765419229,84077365459.513,56184084956.0418,48194235661.5894,49998277,30037465,6120,4.8103022827479,6.77154916666667,623291744.34352,57942874011.2,47388354318.9306,192948533814.051
2007-01-01,297685145427.081,333077117253.684,5.36047405394162,22.287,6.17781214809388,97145854047.3063,64370367354.9915,52914289096.4485,50528584,30628406,6440,4.54604567163963,7.045365,6586792253.1097,72806266042.2,51433518064.7135,209020921584.616
2008-01-01,307184409060.741,316131258616.309,3.1910438863288,22.407,9.90998456005467,106598986614.936,67295648561.9623,53971363126.2587,51114599,31258622,6490,6.74515150291692,8.26122333333333,9885001293.44358,74274060700.8,49343951555.3569,194538136907.816
2009-01-01,302459639039.778,329754060647.129,-1.53808913525583,23.523,7.23809523809527,81135290312.0889,61884760553.6866,58675227805.554,51728516,31909770,6350,2.80250897367949,8.47367415824888,7624489973.88189,84376757970.0,47840073998.5985,209842585270.569
2010-01-01,311653604140.269,417363822801.713,3.03973288127956,24.683,4.06749555950264,102766114850.772,73437854964.6494,75109059006.8161,52344051,32567422,6730,3.49095978948264,7.32122196115288,3693271715.48139,115321955835.8,57844846256.5402,268261693143.576
2011-01-01,321528523981.702,458199494830.834,3.16855627858818,24.639,5.00085338795019,123430705322.531,86385439694.527,83370054159.5994,52995205,33252371,7620,3.27930122317635,7.26113213232735,4139289122.68736,124137231364.7,58932565239.139,294815626778.304
2012-01-01,329233094599.263,434400545085.811,2.39623238465745,24.727,5.73797139141737,123558580031.425,80731323268.2493,81756551200.38,53782567,34029306,8220,3.88287299810937,8.20996862659332,4626029122.40006,147959953649.6,54224447021.2792,279339146968.903
2013-01-01,337416077838.151,400886013595.573,2.48546800826588,24.561,5.78016910069177,122253185705.996,76844888219.9333,76494561791.4655,54678791,34881241,7930,2.50924549715633,9.65505606913526,8232518815.62082,141639140528.1,49576674421.2555,256782495450.871
2014-01-01,342186555600.731,381198869776.106,1.41382645223793,24.89,6.13282953059149,116261670807.052,70475909114.3816,73624988316.5505,55594838,35754152,7230,3.56702763012509,10.8526555687831,5791659020.09997,149317852206.3,47576330742.1342,244012188927.004
2015-01-01,346709790458.563,346709790458.563,1.32186223678229,25.149,4.5186909489251,100591042327.088,64603151779.9023,65823101021.9047,56723537,36772735,6450,3.66774283328738,12.7589308811644,1521139945.30531,127741439982.3,43400939046.4837,222249906162.015
2016-01-01,349013858372.625,323585509674.481,0.664552307858116,26.536,6.60290842394869,89649913398.7817,54881566001.3053,62476471785.5977,57259551,37413963,5880,3.2782516753353,14.7096108855267,2215307020.39541,144048128970.8,40395264202.3822,206814506071.195
2017-01-01,353055253707.071,381448814653.456,1.15794695181735,27.035,5.18618655524146,99923782384.0035,63361448181.8387,73375788190.4018,57635162,37952754,5850,4.64731548547952,13.3238014244992,2058579911.05235,175013606856.1,47729563002.8018,245387645989.98
2018-01-01,358551560868.533,405260723892.517,1.55678384721676,26.906,4.50987264867393,109373822794.536,65533021636.9655,78426971754.2625,58613001,38892657,6250,5.85618355483619,13.2339264715833,5569462350.15205,180183961226.0,50483463259.5044,260392886041.527
2019-01-01,359483563936.676,389330032224.269,0.25993557687633,28.468,4.1028507546115,103935027605.427,61595099957.9401,76231131928.756,59587885,39838076,6570,5.26841565254553,14.4484270548333,5116098443.48715,190737954551.6,48280393962.6092,250523382628.434
2020-01-01,337307318679.639,337974655408.055,-6.1689177146757,29.217,3.23238831615119,78355182004.1248,41724810291.9326,69691522619.2433,60562381,40791186,5930,2.19841383877743,16.4591053903333,3153552569.39325,175416998140.0,39627686444.6761,218366282577.333
2021-01-01,354021006263.537,420886877628.703,4.95503259440756,34.007,4.61874544887136,104931791612.213,53858484554.5725,80718806540.0708,61502603,41727671,6330,0.472106500818692,14.7786782139167,40658789144.9381,169438160061.5,50759289477.7192,264036285458.009
