Country,Model,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
USA,Linear Regression,1.0642735662628917,0.9384214438956281,-0.6869158398961188,40.482745658425635
USA,Ridge,1.1539045209783545,1.0463424020266243,-0.9830178108343139,47.09688970878994
USA,LASSO,2.9398493524821823,2.5670764944870847,-11.871732856277633,144.16404342331424
USA,Random Forest,0.8112727239268428,0.7108451357928075,0.019786646994305324,39.205834570236775
USA,XGBoost,0.7820719405435566,0.6750089672604835,0.08907992363741912,36.06243933968041
USA,Gradient Boosting,0.8049830112282236,0.6429013092064515,0.034926712431593177,40.31811372058579
Canada,Linear Regression,2.4409021271065687,1.7655672657788903,-1.1704619338162563,145.99991822871579
Canada,Ridge,2.455170111250262,1.9180128725194165,-1.1959104155164866,207.15106469579436
Canada,LASSO,1.6293903059102852,1.4842744898691647,0.0328324918659928,317.72440458428173
Canada,Random Forest,1.3408857959583311,1.0322359578221507,0.3450094678011074,282.4522993951944
Canada,XGBoost,1.6092374342094864,1.2199237799272784,0.05660907334341114,295.45603952500215
Canada,Gradient Boosting,1.543040147997916,1.1568105592998847,0.13262701060872617,289.75444725880294
Japan,Linear Regression,1.6740059986258338,1.459443779073846,-3.565110814765741,198.38555216510358
Japan,Ridge,1.531664147649549,1.37471086411116,-2.821768687668282,163.63962006159423
Japan,LASSO,1.4944562464421813,1.1861735441005996,-2.638343623290633,153.19696586642308
Japan,Random Forest,1.741534318178153,1.4609941872597019,-3.9408466894816625,153.61340323634488
Japan,XGBoost,1.550930081402308,1.2629419188160464,-2.91851707352093,131.35493765165023
Japan,Gradient Boosting,2.400090739361055,2.0469516854435157,-8.384099994011281,229.99602947095647
UK,Linear Regression,2.9349389914242963,2.762370845381237,-0.14278997181568132,347.09450796234427
UK,Ridge,2.138923401430882,1.7328831115450127,0.3930418759903317,195.0872434141893
UK,LASSO,1.3927177757753098,1.030438530667471,0.7426675812458441,96.20734071709474
UK,Random Forest,2.565435054507631,1.120645259515986,0.12684707310251042,55.94284762145117
UK,XGBoost,2.7072311506728775,1.5305612622472027,0.027658231680620426,153.10674458057457
UK,Gradient Boosting,2.6221891757222235,1.2251235647386922,0.08778689868723577,107.53018909922491
