Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.533,1.200,1.663,0.942,0.912,-3.507
Ridge,0.622,1.396,1.532,0.922,0.881,-2.822
LASSO,0.563,1.377,1.494,0.936,0.884,-2.638
Random Forest,1.053,3.270,1.742,0.775,0.348,-3.941
XGBoost,0.343,3.129,1.411,0.976,0.403,-2.242
Gradient Boosting,0.354,2.973,2.395,0.975,0.461,-8.346
