Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.310,3.031,1.470,0.725,0.440,-2.470
Ridge,2.214,3.843,0.710,0.214,0.100,0.191
LASSO,2.497,4.143,0.935,0.000,-0.046,-0.404
Random Forest,1.120,3.784,1.067,0.799,0.127,-0.827
XGBoost,0.474,3.869,1.349,0.964,0.087,-1.922
Gradient Boosting,0.380,3.818,1.065,0.977,0.111,-0.822
Stacking Ensemble,0.992,3.974,1.221,0.842,0.037,-1.392
