Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.327,13.051,11.068,0.970,-0.234,-641.474
Ridge,0.650,15.258,4.516,0.880,-0.687,-105.940
LASSO,0.510,15.592,7.886,0.926,-0.762,-325.181
Random Forest,0.577,12.014,0.777,0.906,-0.046,-2.167
XGBoost,0.881,11.822,1.096,0.780,-0.013,-5.297
Gradient Boosting,0.704,11.759,1.543,0.860,-0.002,-11.492
