Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.242,11.261,23.050,0.976,-2.589,-220.582
Ridge,0.420,5.398,65.811,0.928,0.176,-1805.253
LASSO,0.363,6.436,8.741,0.946,-0.172,-30.867
Random Forest,0.439,4.966,1.187,0.921,0.302,0.412
XGBoost,0.779,5.454,1.349,0.752,0.158,0.241
Gradient Boosting,0.605,5.349,1.422,0.850,0.190,0.156
