Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.476,3.410,11.639,0.954,0.302,-172.197
Ridge,1.082,7.563,5.682,0.764,-2.434,-40.286
LASSO,0.632,3.156,2.314,0.919,0.402,-5.849
Random Forest,0.668,3.848,1.241,0.910,0.111,-0.969
XGBoost,1.299,4.052,0.870,0.659,0.014,0.032
Gradient Boosting,0.900,3.722,0.994,0.837,0.168,-0.262
