Country,Model,Horizon,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
USA,Linear Regression,1,20.52919678428917,19.823229071049735,-783.0522735294442,1068.6583043750777
USA,Ridge,1,5.26168914153951,4.762610628650139,-50.50524723582199,263.1521110221437
USA,LASSO,1,10.161096850582632,9.887039162622512,-191.08006093138184,529.637070339931
USA,Random Forest,1,0.8835521054058149,0.6971139497979749,-0.45233042413051106,38.3909363154408
USA,XGBoost,1,0.7690220956044221,0.623248329138049,-0.10021798356457645,33.84420282463471
USA,Gradient Boosting,1,1.2321278192899763,1.008164255297408,-1.82431172945387,46.41036886311942
Canada,Linear Regression,1,23.05033362763761,21.766921851697077,-220.58187115423544,4160.897338464689
Canada,Ridge,1,65.8111455742935,52.58265922195155,-1805.2534737482138,22879.900079974686
Canada,LASSO,1,8.741417806988833,8.203726093987973,-30.867173937160054,1824.8675989667852
Canada,Random Forest,1,1.1871712808754182,0.8082416443581953,0.4122311609140674,235.66740402584472
Canada,XGBoost,1,1.3488181499676548,0.9141984575904524,0.24127115249155084,265.1797772130938
Canada,Gradient Boosting,1,1.4222402666041523,1.052620919569378,0.156421049144015,241.61317385589734
Japan,Linear Regression,1,12.334403033790919,11.002594016310878,-230.73863687074615,1427.8062519433104
Japan,Ridge,1,9.150870430821849,8.844662268512314,-126.55191697284818,1142.7914430757767
Japan,LASSO,1,3.271504887970206,3.0563624552496855,-15.302616964573403,409.05239053703644
Japan,Random Forest,1,0.8970609836619742,0.7571020237742528,-0.22576188800122043,80.2775928570429
Japan,XGBoost,1,1.1444564529216776,0.9519150217384794,-0.9950818706313069,90.5415830395624
Japan,Gradient Boosting,1,0.9755999055845511,0.8527469899772433,-0.44979192654182665,94.967481398753
UK,Linear Regression,1,7.844120908853216,7.346085022352978,-54.62037136628546,1184.8882272088913
UK,Ridge,1,1.6880879838953997,1.6111813870077258,-1.5759384563464014,217.73277723592273
UK,LASSO,1,3.776510767800745,3.6154576430340293,-11.892192465396484,527.2903315870401
UK,Random Forest,1,0.8898853722821658,0.5685766130057639,0.28416412176897077,55.081533474801205
UK,XGBoost,1,0.9262140693280928,0.6722616930897773,0.22452451483152625,93.9766407312621
UK,Gradient Boosting,1,1.06301877154388,0.6712034010794168,-0.021473708988998474,62.10752360028437
