Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.430,4.509,12.334,0.962,-0.231,-230.739
Ridge,0.734,5.630,9.151,0.890,-0.918,-126.552
LASSO,0.555,4.712,3.272,0.937,-0.344,-15.303
Random Forest,0.739,3.851,0.897,0.889,0.102,-0.226
XGBoost,0.737,3.654,1.144,0.890,0.192,-0.995
Gradient Boosting,0.005,3.661,0.976,1.000,0.189,-0.450
