Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.253,18.331,35.299,0.974,-15.474,-2157.349
Ridge,0.443,11.650,32.155,0.919,-5.654,-1790.034
LASSO,0.790,8.110,2.932,0.743,-2.225,-13.895
Random Forest,0.471,5.077,4.085,0.909,-0.264,-27.903
XGBoost,0.809,4.726,2.609,0.731,-0.095,-10.789
Gradient Boosting,0.676,4.831,3.316,0.813,-0.144,-18.043
