Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.194,3.086,1.431,0.649,0.600,-0.527
Ridge,1.344,4.243,2.755,0.555,0.244,-4.663
LASSO,1.397,4.417,2.821,0.519,0.181,-4.940
Random Forest,1.473,4.770,2.223,0.465,0.045,-2.688
XGBoost,1.769,4.988,1.807,0.229,-0.044,-1.437
Gradient Boosting,1.595,4.910,1.932,0.373,-0.012,-1.786
Stacking Ensemble,2.421,4.960,2.071,-0.444,-0.033,-2.201
