,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country
1983-12-31,101.4,51.9769,164.92999267578125,233792000.0,149041900.0,8.533333333333333,9.430108695652176,11.686666666666667,11.686666666666667,10.69,11.409999999999998,8.799999999999999,0.9956666666666668,13.606666666666667,12.410000000000002,,91.53333333333336,77.92006666666667,7880.794,3794.706,2372.496,718.496,775.099,286.587,357.972,102996.0,1627.0,1688.0,,2123.5,usa
1984-03-31,102.9,53.5028,159.17999267578125,235825000.0,149436900.0,7.866666666666667,9.688571428571429,11.943333333333332,11.943333333333332,10.913333333333334,11.643333333333333,9.17,1.0298387096774193,13.743333333333334,12.283333333333331,,99.5,79.9392,8034.847,3908.054,2418.165,790.872,794.021,292.975,387.978,103967.0,1725.0,1663.0,,2175.2,usa
1984-06-30,103.7,54.3075,153.17999267578125,235825000.0,149830500.0,7.433333333333334,10.554725274725277,13.2,13.2,12.356666666666667,13.006666666666666,9.796666666666669,0.8473015873015873,14.7,13.213333333333331,,96.56666666666666,80.77843333333333,8173.67,4009.601,2475.876,818.894,819.132,302.2,406.501,105591.0,1814.0,1843.0,,2215.1,usa
1984-09-30,104.7,54.3696,166.10000610351562,235825000.0,150265800.0,7.433333333333334,11.392282608695652,12.866666666666667,12.866666666666667,12.503333333333332,12.826666666666666,10.32,0.3603174603174603,14.71,12.99,,98.86666666666667,80.83143333333334,8252.465,4084.25,2513.523,838.852,835.72,305.744,409.591,105490.0,1523.0,1698.0,,2244.4,usa
1984-12-31,105.5,54.5556,167.24000549316406,235825000.0,150684100.0,7.3,9.2625,11.743333333333334,11.743333333333334,10.81,11.486666666666666,8.803333333333333,0.9219672131147542,13.606666666666667,12.35,,94.96666666666664,80.3168,8320.199,4148.551,2561.797,831.741,862.769,308.603,416.359,106223.0,1626.0,1612.0,,2306.4,usa
1985-03-31,106.8,54.7673,180.66000366210938,237924000.0,150801900.0,7.233333333333333,8.475111111111111,11.583333333333334,11.583333333333334,10.27,11.193333333333332,8.183333333333332,1.3115,13.393333333333333,12.256666666666668,,94.46666666666664,80.00953333333334,8400.82,4230.168,2636.008,809.865,875.592,306.01,397.308,106989.0,1727.0,1800.0,,2366.2,usa
1985-06-30,107.5,54.711,191.85000610351562,237924000.0,151253600.0,7.3,7.924395604395604,10.813333333333333,10.813333333333333,9.39,10.316666666666666,7.460000000000001,1.4219047619047618,13.02,11.63,,94.3,79.49856666666666,8474.787,4294.887,2681.764,827.04,900.527,304.126,418.571,106505.0,1716.0,1676.0,,2412.6,usa
1985-09-30,108.1,54.8147,182.0800018310547,237924000.0,151473300.0,7.2,7.900978260869565,10.336666666666666,10.336666666666666,8.896666666666667,9.773333333333332,7.1066666666666665,1.4395238095238094,12.47,11.03,,92.83333333333331,78.8594,8604.22,4386.773,2754.148,822.157,927.363,297.273,414.168,107657.0,1916.0,1676.0,,2456.4,usa
1985-12-31,109.5,55.3553,211.27999877929688,237924000.0,151926000.0,7.033333333333334,8.104456521739131,9.76,9.76,8.53,9.233333333333333,7.166666666666667,1.2316129032258063,11.976666666666668,10.576666666666666,,91.06666666666668,78.84686666666666,8668.188,4444.094,2779.4,859.545,938.584,305.433,438.867,108216.0,1794.0,1942.0,,2492.1,usa
1986-03-31,109.1,54.8728,238.89999389648438,240133000.0,152610600.0,7.033333333333334,7.826888888888888,8.556666666666667,8.556666666666667,7.773333333333333,8.16,6.896666666666666,0.7893333333333333,11.016666666666666,9.573333333333332,1.0120338983050847,95.53333333333336,78.9457,8749.127,4507.894,2823.648,863.457,946.803,313.404,439.418,108837.0,1780.0,1876.0,,2533.1,usa
1986-06-30,109.4,54.826,250.83999633789062,240133000.0,153040900.0,7.166666666666667,6.918461538461539,7.603333333333333,7.603333333333333,6.983333333333333,7.403333333333333,6.140000000000001,0.62015625,10.273333333333332,9.003333333333332,0.8590476190476191,96.76666666666668,78.17196666666666,8788.524,4545.34,2851.456,855.237,967.519,315.119,443.99,109576.0,1790.0,1847.0,,2605.0,usa
1986-09-30,110.0,55.2237,231.32000732421875,240133000.0,153443600.0,6.966666666666666,6.20945652173913,7.3066666666666675,7.3066666666666675,6.45,6.926666666666667,5.523333333333333,0.85578125,10.18,8.83,0.766984126984127,94.83333333333331,78.20206666666667,8872.601,4607.669,2917.201,835.832,993.597,320.471,459.432,110085.0,1686.0,1687.0,,2667.8,usa
1986-12-31,110.8,56.2078,242.1699981689453,240133000.0,153809700.0,6.833333333333333,6.266739130434782,7.263333333333333,7.263333333333333,6.276666666666666,6.753333333333333,5.353333333333333,0.988225806451613,10.093333333333334,8.676666666666668,0.8081967213114754,92.03333333333336,78.7782,8920.193,4657.627,2952.807,842.063,996.385,334.999,468.628,110728.0,1903.0,1833.0,,2728.0,usa
1987-03-31,112.2,56.8136,291.70001220703125,242289000.0,154194600.0,6.599999999999999,6.222555555555555,7.1933333333333325,7.1933333333333325,6.3500000000000005,6.739999999999999,5.536666666666666,0.8442622950819673,9.66,8.366666666666667,0.8477049180327869,90.46666666666664,79.4448,8986.367,4722.156,2983.513,871.196,1008.681,336.451,477.685,111408.0,1704.0,1726.0,,2753.7,usa
1987-06-30,113.5,57.8502,304.0,242289000.0,154664500.0,6.266666666666667,6.65,8.343333333333334,8.343333333333334,7.45,7.95,5.656666666666666,0.8926984126984128,10.356666666666667,9.166666666666666,1.500327868852459,91.8,80.44566666666667,9083.256,4806.16,3053.33,874.588,1025.219,355.36,502.337,112246.0,1522.0,1594.0,,2774.6,usa
