date,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,gdp_growth_yoy_lag1,gdp_growth_yoy_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff,gdp_volatility_4q,stock_volatility_4q,gdp_momentum,high_volatility_regime,yield_curve_slope,yield_curve_inverted,yield_curve_curvature,credit_spread,credit_spread_change,high_financial_stress,stock_returns_1q,stock_volatility_4q_v6,risk_adjusted_returns,unemployment_momentum_v6,unemployment_vs_5y_avg,financial_conditions_index,real_activity_index
1980-03-31,80.1,51.7454,102.08999633789062,227225000.0,142647800.0,6.3,15.065274725274726,11.986666666666666,11.986666666666666,13.266666666666666,12.27,13.353333333333332,-1.2779032258064518,13.48,12.143333333333333,1.0120338983050847,63.46666666666667,83.89406666666666,7341.557,2789.842,1702.302,554.562,568.781,268.508,304.311,99713.0,988.0,1047.0,-2641.0,1499.8,USA,,,,,,,,,,,,,,,,,,,,,,,,-35.9732955829397,7.747416522135563,,,,,,,,,0,-1.2799999999999994,1,0.7133333333333329,1.3366666666666678,,0,,,,,0.0,-0.8977281563355469,-0.43228109225609873
1980-06-30,82.5,48.8383,114.23999786376952,227225000.0,143569800.0,7.333333333333333,12.6689010989011,10.476666666666668,10.476666666666668,10.226666666666668,10.333333333333334,9.616666666666667,0.250952380952381,13.356666666666667,11.203333333333331,1.0120338983050847,54.366666666666674,79.89923333333333,7190.289,2797.352,1704.723,519.294,588.547,277.389,292.6,98682.0,1118.0,1196.0,-2641.0,1529.2,USA,-2.0604348641575676,,,,,,,,,7341.557,,,6.3,,,51.7454,,,15.065274725274726,,,,,-36.73009527155307,8.185303817412624,,,-151.26800000000003,-1031.0,-2.9071,,,,0,0.25,0,0.036666666666668846,2.153333333333336,0.8166666666666682,0,11.9012655125049,,,1.0333333333333332,0.5166666666666666,0.9723487156599635,-0.9316614469246397
1980-09-30,83.9,49.4578,125.45999908447266,227225000.0,143999700.0,7.666666666666667,9.823152173913044,10.953333333333331,10.953333333333331,10.376666666666669,10.663333333333332,9.153333333333334,0.58546875,13.166666666666666,11.576666666666668,1.0120338983050847,67.76666666666667,78.16456666666666,7181.743,2856.483,1763.771,495.071,592.169,284.673,279.202,99077.0,1484.0,1471.0,-2641.0,1574.0,USA,-0.11885474978821087,,,,,,,,,7190.289,7341.557,,7.333333333333333,6.3,,48.8383,51.7454,,12.6689010989011,15.065274725274726,,,,-36.77380268271922,8.24547745582096,,,-8.545999999999367,395.0,0.6195000000000022,,0.01470665919359331,,0,0.5766666666666627,0,0.0033333333333356308,1.589999999999998,-0.5633333333333379,0,9.821429823627037,1.4706659193593303,6.6331166910876656,0.3333333333333339,0.5666666666666664,0.5781184888974967,-0.42935515827836185
1980-12-31,86.4,51.257,135.75999450683594,227225000.0,144227100.0,7.399999999999999,15.852826086956522,12.423333333333332,12.423333333333332,13.226666666666668,12.646666666666668,13.613333333333337,-0.7972131147540984,14.670000000000002,12.83,1.0120338983050847,72.06666666666666,80.7126,7315.677,2985.557,1831.874,551.472,608.893,292.517,299.2,99634.0,1249.0,1482.0,-2641.0,1599.8,USA,1.8649233201466497,,,,,,,,,7181.743,7190.289,,7.666666666666667,7.333333333333333,,49.4578,48.8383,,9.823152173913044,12.6689010989011,,,,-36.10055501356881,8.323125802301004,,7.175,133.9339999999993,557.0,1.799199999999999,,0.018506823227656004,,0,-0.8033333333333363,1,0.3566666666666638,1.8400000000000016,0.25000000000000355,0,8.209784391460317,1.8506823227655995,4.412243987602256,-0.2666666666666684,0.22499999999999876,0.19262719399609263,-0.28314172014761185
1981-03-31,88.6,50.9806,136.0,229466000.0,144580000.0,7.433333333333334,16.595555555555556,12.96,12.96,13.583333333333334,13.196666666666667,14.39,-0.6159016393442623,15.246666666666664,13.163333333333334,1.0120338983050847,68.26666666666667,80.3913,7459.022,3124.206,1885.734,619.381,633.35,305.467,319.726,100571.0,1183.0,1306.0,-2641.0,1636.6,USA,1.9594222106853687,1.6000011986558205,-1.4780057744263164,0.8604695476016166,10.77552631671701,11.688323397564204,13.76458057115617,5.06554150195031,9.121216162154955,7315.677,7181.743,7341.557,7.399999999999999,7.666666666666667,6.3,51.257,49.4578,51.7454,15.852826086956522,9.823152173913044,15.065274725274726,,,-35.40678657336042,8.491059551775018,,7.458333333333333,143.34500000000025,937.0,-0.2763999999999953,,0.05128041795850112,,0,-0.6233333333333331,1,0.15000000000000036,2.0833333333333304,0.24333333333332874,0,0.17678661083915248,5.128041795850111,0.03440739057084731,0.03333333333333499,0.206666666666667,0.10814872008901978,-0.46953717649754384
1981-06-30,90.5,51.3214,131.2100067138672,229466000.0,145409100.0,7.399999999999999,17.786923076923078,13.75,13.75,14.706666666666669,14.19,14.906666666666666,-0.9492063492063492,15.77,13.983333333333334,1.0120338983050847,73.93333333333334,80.0991,7403.745,3162.532,1917.524,609.843,648.673,308.455,321.963,100298.0,976.0,1045.0,-2641.0,1670.3,USA,-0.7410757067079277,2.9686706612209957,5.08432930712166,1.6375833485336777,12.483025101438772,17.436943234468337,11.19943472884648,10.035201640464809,9.227046821867635,7459.022,7315.677,7190.289,7.433333333333334,7.399999999999999,7.333333333333333,50.9806,51.257,48.8383,16.595555555555556,15.852826086956522,12.6689010989011,1.6000011986558205,,-35.67113670176377,8.761417363780087,,7.475,-55.277000000000044,-273.0,0.34079999999999444,0.967795458182783,0.06386911127406802,,1,-0.9566666666666688,1,0.07666666666666977,1.7866666666666653,-0.2966666666666651,0,-3.522053886862364,6.3869111274068,-0.550586652950757,-0.03333333333333499,0.14444444444444304,-0.3942037952484136,-0.5328845433837764
1981-09-30,93.1,51.3429,116.18000030517578,229466000.0,145577300.0,7.399999999999999,17.594347826086956,14.846666666666666,14.846666666666666,16.03,15.426666666666668,15.053333333333333,-1.183125,16.47666666666667,14.920000000000002,1.0120338983050847,74.8,80.27806666666667,7492.405,3260.609,1958.099,652.297,657.774,302.339,309.9,100064.0,847.0,911.0,-2641.0,1706.0,USA,1.197502074963408,4.325718700878034,3.811532255781702,0.9961948787306829,11.017756840315428,31.758273055783913,6.205716734639388,10.99490691327425,8.38627700127066,7403.745,7459.022,7181.743,7.399999999999999,7.433333333333334,7.666666666666667,51.3214,50.9806,49.4578,17.786923076923078,16.595555555555556,9.823152173913044,2.9686706612209957,,-35.24902884988198,8.779210413745652,,7.408333333333332,88.65999999999985,-234.0,0.021500000000003183,1.362862880215514,0.0816891655111559,,1,-1.1833333333333353,1,0.023333333333333428,1.5566666666666684,-0.22999999999999687,0,-11.454923892708656,8.168916551115588,-1.4005429473597242,0.0,0.12380952380952248,-0.9834945590682315,-0.6068224857817136
1981-12-31,94.1,49.8086,122.5500030517578,229466000.0,146181000.0,8.233333333333334,13.588369565217391,14.086666666666668,14.086666666666668,13.903333333333334,14.13,11.75,0.1714754098360656,16.683333333333334,14.616666666666667,1.0120338983050847,65.7,77.91836666666667,7410.768,3280.818,1974.447,643.395,677.727,304.695,319.445,99645.0,796.0,910.0,-2641.0,1755.5,USA,-1.0895967316235544,1.2998250196119887,-2.825760383947562,0.011040407892881632,7.782904282718128,16.668661328226996,4.163176841004113,6.76637700534759,9.732466558319786,7492.405,7403.745,7315.677,7.399999999999999,7.399999999999999,7.399999999999999,51.3429,51.3214,51.257,17.594347826086956,17.786923076923078,15.852826086956522,4.325718700878034,,-35.6373320551932,9.145165521306293,2.5485538950917097,7.616666666666666,-81.63699999999972,-419.0,-1.5343000000000018,1.3897108651899643,0.07118291043947948,,1,0.18333333333333357,0,-0.2699999999999996,2.0666666666666664,0.509999999999998,0,5.482873756110873,7.118291043947945,0.7691708604920021,0.8333333333333357,0.8375000000000012,0.6139980935867057,-1.110030806049371
1982-03-31,94.7,49.4477,111.95999908447266,231664000.0,146259300.0,8.833333333333334,14.207444444444445,14.293333333333331,14.293333333333331,14.526666666666666,14.39,12.813333333333333,-0.2344262295081967,17.033333333333335,15.01,1.0120338983050847,66.5,75.8154,7295.631,3274.302,2014.155,588.318,688.104,293.202,309.478,99672.0,891.0,931.0,-2641.0,1786.5,USA,-1.5536446424985861,-2.190515056799669,-3.0068300490775024,-0.893895854669835,6.810133348605896,-5.015168369711054,-4.0151636674337965,-3.2052444905950717,9.159232555297582,7410.768,7492.405,7459.022,8.233333333333334,7.399999999999999,7.433333333333334,49.8086,51.3429,50.9806,13.588369565217391,17.594347826086956,16.595555555555556,1.2998250196119887,1.6000011986558205,-36.19974749271173,9.431727015798907,1.6009248312278377,7.966666666666667,-115.13699999999972,27.0,-0.3609000000000009,2.8143032180054854,0.07441583669348861,-3.7905162554554894,1,-0.23333333333333428,1,0.039999999999995595,2.023333333333335,-0.043333333333331225,0,-8.641373891123083,7.441583669348858,-1.159669444049629,0.5999999999999996,1.2777777777777786,-0.16207610096179348,-1.2054526947711057
1982-06-30,97.0,48.5415,109.61000061035156,231664000.0,146949200.0,9.433333333333334,14.514175824175824,13.93,13.93,14.15,14.06,12.42,-0.2171428571428571,16.78,14.51,1.0120338983050847,66.23333333333333,74.44293333333333,7328.912,3331.972,2039.645,593.621,703.093,294.729,299.115,99543.0,913.0,902.0,-2641.0,1826.0,USA,0.45617712847594305,-1.0107452377141501,-5.416648805371638,-0.7527567847813499,6.368681695770184,-2.660028892682209,-4.4499197613914525,-7.096467606526224,9.32167874034604,7295.631,7410.768,7403.745,8.833333333333334,8.233333333333334,7.399999999999999,49.4477,49.8086,51.3214,14.207444444444445,13.588369565217391,17.786923076923078,-2.190515056799669,2.9686706612209957,-36.03536241122829,9.593415775765896,0.6060708564940509,8.475,33.28099999999995,-129.0,-0.9061999999999983,2.872400968875888,0.07539456350026157,-3.979415898935146,1,-0.22000000000000064,1,-0.040000000000000924,2.2700000000000014,0.24666666666666615,0,-2.0989625699693426,7.539456350026153,-0.2780283072915669,0.5999999999999996,1.6899999999999995,0.30327666876613774,-1.3231840894636555
