Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.739,10.202,3.253,0.847,0.183,-0.404
Ridge,1.647,11.455,3.103,0.242,-0.030,-0.277
LASSO,1.850,11.289,2.939,0.044,-0.000,-0.146
Random Forest,1.499,11.340,2.745,0.372,-0.009,0.001
XGBoost,1.636,11.384,2.754,0.252,-0.017,-0.006
Gradient Boosting,1.660,11.341,2.710,0.230,-0.009,0.026
