Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.914,2.776,1.618,0.831,0.530,-3.264
Ridge,0.991,3.069,1.501,0.801,0.426,-2.671
LASSO,0.987,3.161,1.869,0.803,0.391,-4.691
Random Forest,1.167,3.709,1.853,0.724,0.161,-4.592
XGBoost,0.791,3.867,1.708,0.873,0.088,-3.753
Gradient Boosting,0.664,3.572,2.357,0.911,0.222,-8.047
