Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.350,15.972,12.525,0.951,-11.636,-232.649
Ridge,0.362,14.564,11.976,0.948,-9.506,-212.590
LASSO,1.384,4.262,3.085,0.236,0.100,-13.177
Random Forest,1.085,4.491,0.837,0.531,0.001,-0.043
XGBoost,1.383,4.508,0.920,0.237,-0.007,-0.261
Gradient Boosting,1.279,4.481,0.857,0.347,0.006,-0.094
