Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.662,3.230,2.924,0.821,0.695,-2.114
Ridge,1.183,5.403,2.221,0.430,0.145,-0.797
LASSO,1.212,5.462,2.222,0.403,0.127,-0.799
Random Forest,0.991,5.352,1.434,0.600,0.162,0.251
XGBoost,1.337,5.783,1.584,0.272,0.021,0.086
Gradient Boosting,1.247,5.662,1.576,0.367,0.062,0.095
