Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
GERMANY,h4,Ridge,0.975,6.356,7.905,0.758,-0.627,-287.123,0.0%,0.0%
GERMANY,h4,LASSO,0.979,6.190,7.562,0.756,-0.544,-262.687,0.0%,0.0%
GERMANY,h4,Random Forest,1.467,5.296,1.202,0.451,-0.130,-5.668,50.0%,100.0%
GERMANY,h4,XGBoost,1.744,5.099,1.722,0.225,-0.047,-12.674,33.3%,100.0%
GERMANY,h4,Gradient Boosting,1.099,5.068,1.218,0.693,-0.035,-5.842,33.3%,100.0%
GERMANY,h4,Ensemble,N/A,N/A,2.119,N/A,N/A,-19.701,66.7%,100.0%
