Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
GERMANY,h2,Ridge,1.331,3.906,10.214,0.556,0.385,-212.822,7.1%,21.4%
GERMANY,h2,LASSO,1.956,5.264,3.496,0.042,-0.118,-24.046,7.1%,85.7%
GERMANY,h2,Random Forest,1.430,4.978,1.471,0.488,0.001,-3.435,42.9%,92.9%
GERMANY,h2,XGBoost,1.578,5.093,1.645,0.376,-0.046,-4.550,42.9%,100.0%
GERMANY,h2,Gradient Boosting,1.626,4.956,1.414,0.337,0.009,-3.097,57.1%,100.0%
GERMANY,h2,Ensemble,N/A,N/A,4.261,N/A,N/A,-36.208,78.6%,92.9%
