date,GDPC1,ICSA,PERMIT,HOUST,MMNRNJ,UMCSENT,VIXCLS,T10Y2Y,T10Y3M,BAMLH0A0HYM2,SP500,USEPUINDXD,ICSA_ma13w,PERMIT_level,PERMIT_pct_change_1m,PERMIT_pct_change_12m,PERMIT_ma3,permits_starts_ratio,yield_spread_10y_2y,yield_spread_10y_2y_inversion,yield_spread_10y_2y_ma3m,yield_spread_10y_2y_change,yield_spread_10y_3m,yield_spread_10y_3m_inversion,yield_spread_2y_3m,SP500_level,SP500_return_1d,SP500_return_5d,SP500_return_20d,SP500_return_60d,SP500_ma20,SP500_ma60,SP500_above_ma60,SP500_above_ma20,SP500_volatility_20d,SP500_momentum,VIXCLS_level,VIXCLS_change,VIXCLS_ma20,VIXCLS_elevated,VIXCLS_volatility,VIXCLS_spike,term_level,term_slope,term_curvature,USEPUINDXD_level,USEPUINDXD_ma60,market_credit_stress,fear_credit_interaction,combined_uncertainty,yield_cycle,credit_cycle
2024-08-04,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.6010855775657782,-0.8840557820280945,-1.8926533358488244,-0.2647815270157836,1.55776963920748,-0.5823970643748957,-0.37262321671178916,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.8840557820280945,1.869962368407252,-1.2075681827981486,-0.017826295433948078,-1.892653335848825,1.4589250007488335,-2.944051351568412,1.55776963920748,-0.07200960635839114,-0.9665289088873753,-1.7334471645690273,-0.5338621011167168,1.7239250490469824,1.7557046759534236,-1.7441686924717417,-1.526817880268034,0.32939038266027004,-0.8111560959606591,0.6010855775657782,-0.0011754831846279218,-0.1991800869967345,1.1301757535634904,0.11824071406531039,-0.19087839888790556,1.27128209813271,-1.892653335848825,-2.000393898358161,-0.5823970643748957,-0.5029673388531878,0.02182997053091388,1.386932823641094,-0.20593711817106325,-3.50438793032388,2.2673225628371565
2024-08-05,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,2.616835588375232,-0.9348671907730571,-1.975243096409509,-0.07478421525832551,1.3955339699844327,-0.1984332322572068,-0.3727949837109277,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9348671907730575,1.869962368407252,-1.1997612141061385,-1.0492048169695265,-1.975243096409509,1.4589250007488335,-3.056304677594673,1.3955339699844327,-3.3310054320164024,-3.107029570066051,-2.6494990388820256,-1.0304076187683653,1.6994494703685876,1.7528916884876977,-1.7441686924717417,-1.526817880268034,0.5834551887167719,-1.0096896250817,2.616835588375232,7.864678199290455,-0.044529867974820544,1.1301757535634904,1.7050266926981892,5.234086622136778,1.2808615911324388,-1.975243096409509,-2.051076581905409,-0.1984332322572068,-0.49389289023540306,0.1991157196813198,2.0067684872114526,0.41041155724804923,-3.524095596091883,4.281668859194607
2024-08-06,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,1.17473775455503,-0.9009929182764155,-1.8410347354983967,-0.310018982196131,1.4499061564493743,0.16679756964672976,-0.37296675071006624,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9009929182764158,1.869962368407252,-1.19065308396546,0.6697593855897658,-1.8410347354983967,1.4589250007488335,-2.809347360336896,1.4499061564493743,1.0539648937046058,-2.0007730879682115,-2.0476701065584715,-0.844624162164934,1.6817245644294263,1.7510860284064764,-1.7441686924717417,-1.526817880268034,0.6204853725930398,-1.1452610449248968,1.17473775455503,-5.628525350884193,0.036085671728091955,1.1301757535634904,2.4016427104101745,-0.19087839888790556,1.3210954617312998,-1.8410347354983967,-1.8230045059427884,0.16679756964672976,-0.4741518479930273,0.15190938470777418,1.1650034579987996,-0.010315402014037543,-0.27233074437187954,1.1016129005932516
2024-08-07,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,1.1933283343648668,-0.8163072370348112,-1.7790924150778833,-0.40049389255682544,1.4088688246537677,-0.8111172373225348,-0.3731385177092048,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.8163072370348112,1.869962368407252,-1.1805040246658471,1.7011379071253443,-1.7790924150778833,1.4589250007488335,-2.7868966951316443,1.4088688246537677,-0.9131282256267907,-1.4966384542753024,-2.0456084649761936,-0.9712091755372153,1.6641599888765173,1.7485961555065193,-1.7441686924717417,-1.526817880268034,0.620195242125098,-1.2743526529945222,1.1933283343648668,0.07136862192383822,0.1087188715208899,1.1301757535634904,2.399685893811301,-0.19087839888790556,1.3345067519309202,-1.7790924150778833,-1.9243698730372867,-0.8111172373225348,-0.48058784784138886,0.1262327355754859,0.8297595691932654,-0.009655836116812434,1.5210668405161274,-0.26926166220556674
2024-08-08,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.6542015198795976,-0.8332443732831322,-1.7481212548676268,-0.4819213118814502,1.5301785389994789,-1.0305974696917692,-0.37331028470834343,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.8332443732831317,1.869962368407252,-1.1703549653662344,-0.36161913594579737,-1.7481212548676264,1.4589250007488335,-2.697094034310634,1.5301785389994789,2.4337874922271214,-0.4140275449853496,-1.284271104155085,-0.597013506844069,1.6547086398533073,1.748128871745783,-1.7441686924717417,-1.526817880268034,0.8464683266720543,-1.3439912214566632,0.6542015198795976,-2.1049545313301388,0.15301781132740278,1.1301757535634904,2.491055715052022,-0.19087839888790556,1.3479180421305406,-1.7481212548676264,-1.7976631641691643,-1.0305974696917692,-0.48891678882162143,0.20712562645220606,0.5305465656331856,-0.1790513964758635,2.5064501289161236,-1.4536226790453621
2024-08-09,23478.57,-0.3755476673579901,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.20006021309644026,-0.9348671907730571,-1.7894161351479687,-0.47287382084538054,1.5553395973542976,-0.37209348531983044,-0.37451265370231324,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9348671907730568,1.869962368407252,-1.1617672998050235,-2.0805833385050896,-1.7894161351479692,1.4589250007488335,-2.65219270390013,1.5553395973542976,0.4360158896167393,-0.18948133769167974,-1.1637172560434315,-0.5623679734451589,1.6465221194327502,1.7478481300932893,-1.7441686924717417,-1.526817880268034,0.8588033244812161,-1.4061244939973423,0.20006021309644026,-1.7733243365485785,0.1764773599181977,1.1301757535634904,2.5501276026124238,-0.19087839888790556,1.3383385491308117,-1.7894161351479692,-1.5949324299801677,-0.37209348531983044,-0.48502329415106743,0.21565665215961916,0.544123420943067,-0.3133361171325971,1.2648671855321294,-1.0992469417232167
2024-08-10,23478.57,-0.3825657721313584,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.20006021309644026,-0.9348671907730571,-1.7894161351479687,-0.47287382084538054,1.5553395973542976,-0.6310649705721105,-0.3762303236936989,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9348671907730568,1.869962368407252,-1.1531796342438123,-0.017826295433948078,-1.7894161351479692,1.4589250007488335,-2.65219270390013,1.5553395973542976,-0.07200960635839114,1.302428125732483,-1.1637172560434315,-0.6073694753157188,1.6383355990121942,1.7473220982296878,-1.7441686924717417,-1.526817880268034,0.8588033244812161,-1.4637849178506521,0.20006021309644026,-0.0011754831846279218,0.19993690850899268,1.1301757535634904,2.5501276026124238,-0.19087839888790556,1.3383385491308117,-1.7894161351479692,-1.5949324299801677,-0.6310649705721105,-0.48211127649203855,0.21565665215961916,0.5284578186624348,-0.3110917876777723,1.0283751963161136,-0.7168941725072234
2024-08-11,23478.57,-0.3825657721313584,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.20006021309644026,-0.9348671907730571,-1.7894161351479687,-0.47287382084538054,1.5553395973542976,0.2665382980821144,-0.3779479936850845,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9348671907730568,1.869962368407252,-1.1445919686826014,-0.017826295433948078,-1.7894161351479692,1.4589250007488335,-2.65219270390013,1.5553395973542976,-0.07200960635839114,0.792259680474657,-1.44052266146203,-0.7473667557373549,1.6271251966083908,1.7460244066586001,-1.7441686924717417,-1.526817880268034,0.8060607555172502,-1.5463154208769074,0.20006021309644026,-0.0011754831846279218,0.23320681378321004,1.1301757535634904,2.5356999183870905,-0.19087839888790556,1.3383385491308117,-1.7894161351479692,-1.5949324299801677,0.2665382980821144,-0.4661172204627498,0.19137448074156507,0.5075703489549258,-0.2987649630318591,0.8510062044041069,-0.31589004869531995
2024-08-12,23478.57,-0.3825657721313584,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,0.2452087640631869,-0.9348671907730571,-1.830711015428311,-0.44573134773717243,1.555572476365228,-0.6648603696739477,-0.3796656636764701,-0.07923945997253018,-0.035435758072259016,0.5965804574651361,-0.0766154506397907,-0.20690369561066776,-0.9348671907730568,1.869962368407252,-1.1370452322803248,-0.017826295433948078,-1.8307110154283115,1.4589250007488335,-2.74199536472114,1.555572476365228,-0.06732942372951072,1.1784703740925522,-1.399390386074079,-0.7851686263345409,1.6163677911689198,1.744516032235851,-1.7441686924717417,-1.526817880268034,0.8073423193513393,-1.615186404201016,0.2452087640631869,0.1750030577930748,0.26970621535694056,1.1301757535634904,2.534731046755836,-0.19087839888790556,1.3230113603312454,-1.8307110154283115,-1.6962977970746682,-0.6648603696739477,-0.4684211631965409,0.20036599292178342,0.5848539868727111,-0.28689237652676797,-0.31174607590788567,0.6166776810997942
2024-08-13,23478.57,-0.3825657721313584,-0.07923945997253018,0.0016557290980881737,-0.6823934217817613,-0.8712651233707105,-0.09871696241879503,-0.8840557820280945,-1.8720058957086532,-0.42763636566503355,1.6467395465570969,-0.5894219507050528,-0.3813833336678557,-0.07923945997253018,-0.035435758072259016,-0.10536468896172234,-0.0766154506397907,-0.20690369561066776,-0.8840557820280945,1.869962368407252,-1.1281973344293803,1.013552226101615,-1.8720058957086536,1.4589250007488335,-2.899150021157907,1.6467395465570969,1.760101300028906,0.8777659294579048,-0.34751801542829686,-0.5018610668608912,1.6167393504767413,1.7445638072735279,-1.7441686924717417,0.6543505201148718,0.7422720268141468,-1.5799525100319367,-0.09871696241879503,-1.343241427691246,0.27019368649648884,1.1301757535634904,2.5238071202668664,-0.19087839888790556,1.2961887799320053,-1.8720058957086536,-1.9497112148109128,-0.5894219507050528,-0.46849376915776325,0.17558005722724226,0.634461727428048,-0.3909159990554678,-1.4744983562198781,1.194869673572768
