Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.335,2.962,0.625,0.561,0.632,0.709
Ridge,1.809,4.725,1.683,0.193,0.063,-1.114
LASSO,1.357,3.198,0.669,0.546,0.571,0.666
Random Forest,1.544,4.347,2.108,0.412,0.207,-2.316
XGBoost,1.784,4.904,1.746,0.216,-0.010,-1.274
Gradient Boosting,1.663,4.789,1.869,0.318,0.037,-1.608
Stacking Ensemble,3.035,5.517,2.605,-1.270,-0.278,-4.066
