Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.918,10.640,1.924,0.654,0.112,0.482
Ridge,1.242,11.713,2.545,0.366,-0.077,0.094
LASSO,1.387,11.527,2.680,0.209,-0.043,-0.004
Random Forest,0.760,11.421,2.725,0.762,-0.024,-0.039
XGBoost,1.032,11.333,2.695,0.562,-0.008,-0.016
Gradient Boosting,1.122,11.316,2.709,0.482,-0.005,-0.026
Stacking Ensemble,1.267,11.497,2.993,0.339,-0.037,-0.253
