Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,0.992,7.759,2.126,0.739,0.217,0.060
Ridge,1.518,8.138,2.926,0.389,0.139,-0.781
LASSO,1.586,8.302,2.827,0.332,0.104,-0.663
Random Forest,1.043,8.259,2.384,0.711,0.113,-0.182
XGBoost,0.371,8.071,2.501,0.964,0.153,-0.301
Gradient Boosting,0.719,8.346,2.429,0.863,0.094,-0.227
Stacking Ensemble,1.908,8.607,2.112,0.034,0.037,0.072
