Model,Train RMSE,Val RMSE,Test RMSE,Train R²,Val R²,Test R²
Linear Regression,1.020,10.296,1.983,0.723,-4.251,-8.309
Ridge,1.575,5.077,1.410,0.339,-0.277,-3.703
LASSO,1.898,4.603,1.146,0.041,-0.049,-2.111
Random Forest,1.465,4.107,0.647,0.429,0.164,0.009
XGBoost,1.488,4.470,0.651,0.410,0.010,-0.002
Gradient Boosting,1.612,4.349,0.659,0.307,0.063,-0.027
Stacking Ensemble,2.023,4.495,0.715,-0.090,-0.001,-0.210
