Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
FRANCE,h4,Ridge,0.645,7.302,5.872,0.805,0.121,-129.202,0.0%,0.0%
FRANCE,h4,LASSO,1.329,7.273,2.548,0.171,0.128,-23.515,41.7%,75.0%
FRANCE,h4,Random Forest,0.938,7.899,0.915,0.588,-0.028,-2.163,66.7%,91.7%
FRANCE,h4,XGBoost,1.056,7.872,0.461,0.478,-0.021,0.198,100.0%,100.0%
FRANCE,h4,Gradient Boosting,1.104,7.954,0.882,0.429,-0.043,-1.937,66.7%,100.0%
FRANCE,h4,Ensemble,N/A,N/A,2.054,N/A,N/A,-14.935,100.0%,100.0%
