Country,Horizon,Model,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_Coverage_80,Test_Coverage_95
FRANCE,h1,Ridge,0.522,5.197,1.796,0.875,0.552,-3.562,6.7%,20.0%
FRANCE,h1,LASSO,0.531,5.440,1.348,0.870,0.509,-1.569,26.7%,46.7%
FRANCE,h1,Random Forest,0.641,6.782,0.860,0.811,0.237,-0.045,73.3%,93.3%
FRANCE,h1,XGBoost,0.248,6.760,0.776,0.972,0.242,0.149,13.3%,40.0%
FRANCE,h1,Gradient Boosting,0.232,6.890,0.855,0.975,0.213,-0.033,26.7%,53.3%
FRANCE,h1,Ensemble,N/A,N/A,1.219,N/A,N/A,-1.102,40.0%,73.3%
